,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,EGFR_Sim,EGFR_Cmpd1_Sim,EGFR_Cmpd2_Sim,EGFR_Cmpd3_Sim,EGFR_Cmpd4_Sim,raw_EGFR_Sim,single,filter,score_time
0,AHC,EGFR,1,0,0.4916970729827881,CC(NC(=O)C1CC(=O)N(c2ccc(S(N)(=O)=O)cc2)C1)C(=O)NCc1ccc(C#N)cc1,true,1,true,0,0.5307694048674616,0.0,0.3796800000000016,469.5230000000002,33.0,446.3390000000003,6.0,3.0,11.0,7.0,2.0,1.0,3.0,162.45999999999998,0.0,0.0,C22H23N5O5S,1203.2328062675058,2.0,0.0,0.3571428571428571,0.21153846153846156,0.3571428571428571,0.288135593220339,0.30434782608695654,0.3571428571428571,0.3571428571428571,1.0,1.1648623943328857
1,AHC,EGFR,1,1,0.4916970729827881,C=C(C)CN1CCCC1C(=O)Nc1ccccc1SC,true,1,true,0,0.6662314351037878,0.0,3.387500000000002,290.432,20.0,268.256,3.0,1.0,4.0,5.0,1.0,1.0,2.0,32.34,0.0,0.0,C16H22N2OS,501.00516895031643,2.0,0.0,0.27118644067796616,0.21153846153846156,0.2571428571428571,0.27118644067796616,0.26086956521739135,0.27118644067796616,0.27118644067796616,1.0,1.1648623943328857
2,AHC,EGFR,1,2,0.4916970729827881,O=C(CC1COc2ccccc2O1)Nc1ccccc1O,true,1,true,0,0.8504624073435898,0.0,2.560800000000001,285.29900000000004,21.0,270.179,4.0,2.0,5.0,3.0,2.0,1.0,3.0,67.79,0.0,0.0,C16H15NO4,656.2301654361154,2.0,0.0,0.28985507246376807,0.25,0.2571428571428571,0.23728813559322037,0.28985507246376807,0.28985507246376807,0.28985507246376807,1.0,1.1648623943328857
3,AHC,EGFR,1,3,0.4916970729827881,CC1(C(CS)OC(=O)c2ccccc2)OC(=S)Nc2ccc(C(F)(F)F)cc21,true,1,true,0,0.41695573512399253,0.0,4.803000000000003,427.46900000000005,28.0,411.34100000000007,5.0,2.0,9.0,4.0,2.0,1.0,3.0,47.56,0.0,0.0,C19H16F3NO3S2,905.0420183015513,3.0,3.0,0.35593220338983056,0.25,0.3285714285714286,0.35593220338983056,0.30434782608695654,0.35593220338983056,0.35593220338983056,1.0,1.1648623943328857
4,AHC,EGFR,1,4,0.4916970729827881,CNCCC1(c2ccccc2)CCN(C)C1=O,true,1,true,0,0.8506983127891065,0.0,1.3960000000000001,232.32699999999994,17.0,212.16699999999994,2.0,1.0,3.0,4.0,1.0,1.0,2.0,32.34,0.0,0.0,C14H20N2O,390.4685001529453,3.0,0.0,0.30508474576271183,0.28846153846153844,0.30000000000000004,0.30508474576271183,0.2753623188405797,0.30508474576271183,0.30508474576271183,1.0,1.1648623943328857
5,AHC,EGFR,1,5,0.4916970729827881,N#CCC1CCCCN1C(=O)c1ccc(Cl)s1,true,1,true,0,0.8259344748830232,0.0,3.3098800000000024,268.769,17.0,255.66499999999996,3.0,0.0,5.0,2.0,1.0,1.0,2.0,44.1,0.0,0.0,C12H13ClN2OS,451.6032601434414,2.0,0.0,0.288135593220339,0.1923076923076923,0.2571428571428571,0.288135593220339,0.2028985507246377,0.288135593220339,0.288135593220339,1.0,1.1648623943328857
6,AHC,EGFR,1,6,0.4916970729827881,C=CCC1(CCCCC)C(=O)C=C([N+](=O)[O-])N(C(C)CCC)C1=O,true,1,true,0,0.19945254282159988,0.0,3.8472000000000026,336.4320000000002,24.0,308.2080000000001,4.0,0.0,6.0,10.0,0.0,1.0,1.0,80.52,0.0,0.0,C18H28N2O4,541.1368500605772,6.0,0.0,0.30000000000000004,0.17307692307692313,0.30000000000000004,0.27118644067796616,0.23188405797101452,0.30000000000000004,0.30000000000000004,1.0,1.1648623943328857
7,AHC,EGFR,1,7,0.4916970729827881,Clc1ccc2[nH]cc(CCCNCCN3CCOCC3)c2c1,true,1,true,0,0.7703117779581097,0.0,2.6757,321.85200000000003,22.0,297.66,3.0,2.0,5.0,7.0,2.0,1.0,3.0,40.290000000000006,0.0,0.0,C17H24ClN3O,592.6016173160814,7.0,0.0,0.38983050847457623,0.3076923076923077,0.3285714285714286,0.38983050847457623,0.26086956521739135,0.38983050847457623,0.38983050847457623,1.0,1.1648623943328857
8,AHC,EGFR,1,8,0.4916970729827881,O=C(NCC=Cc1ccc(Cl)cc1)c1ccc2cccnn12,true,1,true,0,0.8021076773346248,0.0,3.430900000000002,311.772,22.0,297.65999999999997,3.0,1.0,5.0,4.0,3.0,0.0,3.0,46.400000000000006,0.0,0.0,C17H14ClN3O,821.2961498448365,2.0,0.0,0.30434782608695654,0.2692307692307693,0.27142857142857146,0.2542372881355932,0.30434782608695654,0.30434782608695654,0.30434782608695654,1.0,1.1648623943328857
9,AHC,EGFR,1,9,0.4916970729827881,O=C(CCc1cc(O)ncn1)NO,true,1,true,0,0.43824523184249065,0.0,-0.3798000000000003,183.16700000000003,13.0,174.095,5.0,3.0,6.0,3.0,1.0,0.0,1.0,95.34,0.0,0.0,C7H9N3O3,302.7891708050465,3.0,0.0,0.21153846153846156,0.21153846153846156,0.19999999999999996,0.1694915254237288,0.2028985507246377,0.21153846153846156,0.21153846153846156,1.0,1.1648623943328857
