,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,BACE1_Sim,BACE1_Cmpd1_Sim,BACE1_Cmpd2_Sim,BACE1_Cmpd3_Sim,raw_BACE1_Sim,single,filter,score_time
0,AHC,BACE1,1,0,0.558584451675415,CCOc1ccc(C=C(CC(C(=O)O)S(=O)(=O)c2ccc(C)cc2)C(=O)O)cc1,true,1,true,0,0.6005281072138046,0.0,3.1789200000000015,418.46700000000016,29.0,396.2910000000002,5.0,2.0,8.0,9.0,2.0,0.0,2.0,117.97000000000001,0.0,0.0,C21H22O7S,1004.0000669567902,6.0,0.0,0.3389830508474576,0.2857142857142857,0.1777777777777778,0.3389830508474576,0.3389830508474576,0.3389830508474576,1.0,1.309108018875122
1,AHC,BACE1,1,1,0.558584451675415,CCCCCCCNC(=O)C(C)NC1=NC(=O)C(=Cc2cccc([N+](=O)[O-])c2)S1,true,1,true,0,0.2595480904824701,0.0,3.6298000000000012,418.5190000000001,29.0,392.31100000000015,6.0,2.0,9.0,10.0,1.0,1.0,2.0,113.70000000000002,0.0,0.0,C20H26N4O4S,822.4541539139811,6.0,0.0,0.2542372881355932,0.2142857142857143,0.1333333333333333,0.2542372881355932,0.2542372881355932,0.2542372881355932,1.0,1.309108018875122
2,AHC,BACE1,1,2,0.558584451675415,O=C1Oc2ccccc2C1=Cc1cc([N+](=O)[O-])ccc1O,true,1,true,0,0.3007442349382566,0.0,2.760000000000001,283.239,21.0,274.167,5.0,1.0,6.0,2.0,2.0,1.0,3.0,89.67,0.0,0.0,C15H9NO5,794.4010282686465,1.0,0.0,0.3220338983050848,0.3035714285714286,0.2666666666666667,0.3220338983050848,0.3220338983050848,0.3220338983050848,1.0,1.309108018875122
3,AHC,BACE1,1,3,0.558584451675415,CC(=O)N(C)CCSc1ccccc1,true,1,true,0,0.7088972833151903,0.0,2.2570000000000006,209.31400000000002,14.0,194.19399999999996,2.0,0.0,3.0,4.0,1.0,0.0,1.0,20.310000000000002,0.0,0.0,C11H15NOS,286.5988225339022,4.0,0.0,0.2666666666666667,0.25,0.2666666666666667,0.2033898305084746,0.2666666666666667,0.2666666666666667,1.0,1.309108018875122
4,AHC,BACE1,1,4,0.558584451675415,CCOC(=O)C=CC1=Cc2cc3c(cc2CC1=O)OCO3,true,1,true,0,0.6283189462144877,0.0,2.0431999999999997,286.283,21.0,272.171,5.0,0.0,5.0,3.0,1.0,2.0,3.0,61.83000000000001,0.0,0.0,C16H14O5,669.4900634705567,1.0,0.0,0.28888888888888886,0.2321428571428571,0.28888888888888886,0.27118644067796616,0.28888888888888886,0.28888888888888886,1.0,1.309108018875122
5,AHC,BACE1,1,5,0.558584451675415,Cc1cc(NCCC#N)cc(CO)n1,true,1,true,0,0.7016792941684615,0.0,1.2078999999999998,191.234,14.0,178.13,4.0,2.0,4.0,4.0,1.0,0.0,1.0,68.94,0.0,0.0,C10H13N3O,343.710614355142,4.0,0.0,0.28888888888888886,0.2142857142857143,0.28888888888888886,0.288135593220339,0.28888888888888886,0.28888888888888886,1.0,1.309108018875122
6,AHC,BACE1,1,6,0.558584451675415,O=C(CCc1ccc2c(c1Cl)OCO2)Nc1cccc(Br)c1,true,1,true,0,0.8522417016823552,0.0,4.402500000000002,382.641,22.0,369.53700000000003,3.0,1.0,6.0,4.0,2.0,1.0,3.0,47.56,0.0,0.0,C16H13BrClNO3,720.5322609594153,3.0,0.0,0.375,0.375,0.24444444444444446,0.288135593220339,0.375,0.375,1.0,1.309108018875122
7,AHC,BACE1,1,7,0.558584451675415,N#Cc1cccc(C2(CCc3ccc(Cl)c(Cl)c3)COCCN2)c1,true,1,true,0,0.8825818013270279,0.0,4.312980000000003,361.27200000000016,24.0,343.1280000000001,3.0,1.0,5.0,4.0,2.0,1.0,3.0,45.05,0.0,0.0,C19H18Cl2N2O,764.2023716559534,3.0,0.0,0.4666666666666667,0.375,0.4666666666666667,0.423728813559322,0.4666666666666667,0.4666666666666667,1.0,1.309108018875122
8,AHC,BACE1,1,8,0.558584451675415,CCOc1ccc(C(=O)CCCC=Cc2ccccc2)cc1,true,1,true,0,0.49679509935314836,0.0,5.151700000000004,294.39399999999995,22.0,272.21799999999996,2.0,0.0,2.0,8.0,2.0,0.0,2.0,26.3,0.0,0.0,C20H22O2,597.3641876665116,5.0,0.0,0.3555555555555555,0.3392857142857143,0.3555555555555555,0.3389830508474576,0.3555555555555555,0.3555555555555555,1.0,1.309108018875122
9,AHC,BACE1,1,9,0.558584451675415,Cc1ccccc1NC(=O)c1c(C)noc1NCCC1CCCC1,true,1,true,0,0.8173888943103899,0.0,4.535940000000004,327.42800000000017,24.0,302.22800000000007,4.0,2.0,5.0,6.0,2.0,1.0,3.0,67.16,0.0,0.0,C19H25N3O2,702.3875050312521,4.0,0.0,0.4666666666666667,0.2678571428571429,0.4666666666666667,0.3728813559322034,0.4666666666666667,0.4666666666666667,1.0,1.309108018875122
10,AHC,BACE1,1,10,0.558584451675415,CCC(C)(C)NC(=O)C(NC(=O)C(c1ccccc1)n1cnc2ccccc21)c1cccn1C,true,1,true,0,0.4175404678536771,0.0,4.126500000000003,457.57800000000015,34.0,426.3300000000002,5.0,2.0,7.0,8.0,4.0,0.0,4.0,80.95000000000002,0.0,0.0,C27H31N5O2,1288.6137699562355,3.0,0.0,0.2321428571428571,0.2321428571428571,0.2222222222222222,0.18644067796610164,0.2321428571428571,0.2321428571428571,1.0,1.309108018875122
11,AHC,BACE1,1,11,0.558584451675415,O=S(=O)(c1ccccc1)c1nc(Cc2ccccc2)n(CCc2ccccc2)n1,true,1,true,0,0.4687494896728667,0.0,3.9444000000000026,403.5070000000001,29.0,382.33900000000017,5.0,0.0,6.0,7.0,4.0,0.0,4.0,64.85,0.0,0.0,C23H21N3O2S,1172.8020448320076,3.0,0.0,0.4285714285714286,0.4285714285714286,0.2222222222222222,0.30508474576271183,0.4285714285714286,0.4285714285714286,1.0,1.309108018875122
12,AHC,BACE1,1,12,0.558584451675415,OCCCn1c(C2CCOCC2)nc2ccnc(N3CCC(Oc4ccccc4)C3)c21,true,1,true,0,0.6294825516499998,0.0,3.365400000000002,422.5290000000002,31.0,392.28900000000027,7.0,1.0,7.0,7.0,3.0,2.0,5.0,72.64,0.0,0.0,C24H30N4O3,1000.7319852468189,3.0,0.0,0.3571428571428571,0.3571428571428571,0.24444444444444446,0.288135593220339,0.3571428571428571,0.3571428571428571,1.0,1.309108018875122
