,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,AP_Sim,AP_Cmpd1_Sim,AP_Cmpd2_Sim,raw_AP_Sim,single,filter,score_time
0,AHC,AP,1,0,0.5623586177825928,O=C(CCC(=O)c1ccc(Cl)cc1)Cc1ccccc1-c1ccccc1,true,1,true,0,0.49892811709377366,0.0,5.781700000000004,362.85600000000005,26.0,343.7040000000001,2.0,0.0,3.0,7.0,3.0,0.0,3.0,34.14,0.0,0.0,C23H19ClO2,899.0056485444841,6.0,0.0,0.27083333333333337,0.26315789473684215,0.27083333333333337,0.27083333333333337,0.27083333333333337,1.0,1.3650245666503906
1,AHC,AP,1,1,0.5623586177825928,Cc1cc2nc(-n3cc(C(=O)CC(C)C)cn3)sc2cc1F,true,1,true,0,0.6789014334643256,0.0,4.158320000000003,317.389,22.0,301.261,5.0,0.0,6.0,4.0,3.0,0.0,3.0,47.78,0.0,0.0,C16H16FN3OS,811.318312790181,3.0,1.0,0.33333333333333337,0.1842105263157895,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.3650245666503906
2,AHC,AP,1,2,0.5623586177825928,CCN(CC)C(=O)C(C(=O)Nc1cc(C(=O)OC)ccc1Cl)n1cccn1,true,1,true,0,0.576359580856385,0.0,2.3712999999999997,392.8430000000001,27.0,371.675,6.0,1.0,9.0,7.0,2.0,0.0,2.0,93.53000000000002,0.0,0.0,C18H21ClN4O4,818.7740454783032,3.0,0.0,0.27083333333333337,0.1842105263157895,0.27083333333333337,0.27083333333333337,0.27083333333333337,1.0,1.3650245666503906
3,AHC,AP,1,3,0.5623586177825928,CCCn1c(N2CCOCC2C)c(C(=O)Nc2nccs2)c2cc(OC)ccc21,true,1,true,0,0.6604449852561874,0.0,3.993800000000003,414.5310000000001,29.0,388.3230000000002,7.0,1.0,8.0,6.0,3.0,1.0,4.0,68.62,0.0,0.0,C21H26N4O3S,999.1926962252552,2.0,0.0,0.3125,0.21052631578947367,0.3125,0.3125,0.3125,1.0,1.3650245666503906
4,AHC,AP,1,4,0.5623586177825928,CCCCc1c(C(=O)C=Cc2ccc(OC)c(OC)c2)[nH]c2ccc(Br)cc12,true,1,true,0,0.33456804784253097,0.0,6.186300000000005,442.35300000000007,28.0,418.16100000000006,3.0,1.0,5.0,8.0,3.0,0.0,3.0,51.32,0.0,0.0,C23H24BrNO3,1020.1044973237662,3.0,0.0,0.25,0.10526315789473684,0.25,0.25,0.25,1.0,1.3650245666503906
5,AHC,AP,1,5,0.5623586177825928,N=C(NCc1ccc(Cl)cc1)NN=Cc1ccccc1F,true,1,true,0,0.4615756971565051,0.0,3.1271700000000013,304.75600000000003,21.0,290.644,2.0,3.0,6.0,4.0,2.0,0.0,2.0,60.27,0.0,0.0,C15H14ClFN4,640.3768065019877,5.0,1.0,0.35416666666666663,0.2894736842105263,0.35416666666666663,0.35416666666666663,0.35416666666666663,1.0,1.3650245666503906
6,AHC,AP,1,6,0.5623586177825928,CS(=O)(=O)NCC(=O)Nc1cccc(CN)c1,true,1,true,0,0.669689034582855,0.0,-0.36699999999999994,257.315,17.0,242.195,4.0,3.0,7.0,5.0,1.0,0.0,1.0,101.28999999999999,0.0,0.0,C10H15N3O3S,499.2725161971285,3.0,0.0,0.3421052631578947,0.3421052631578947,0.3125,0.3421052631578947,0.3421052631578947,1.0,1.3650245666503906
7,AHC,AP,1,7,0.5623586177825928,COCCNC(=O)c1ccc(Cl)cc1Cl,true,1,true,0,0.8304587650674817,0.0,2.3696,248.10899999999998,15.0,237.021,2.0,1.0,5.0,4.0,1.0,0.0,1.0,38.33,0.0,0.0,C10H11Cl2NO2,355.27566688695373,3.0,0.0,0.42105263157894735,0.42105263157894735,0.35416666666666663,0.42105263157894735,0.42105263157894735,1.0,1.3650245666503906
8,AHC,AP,1,8,0.5623586177825928,CCOc1cc2c(cc1OC)CN(C(=O)c1cc(Cl)c(-c3cc[nH]n3)cc1Cl)CC2,true,1,true,0,0.5999120082759698,0.0,4.989300000000004,446.33400000000006,30.0,425.16600000000017,4.0,1.0,8.0,5.0,3.0,1.0,4.0,67.45,0.0,0.0,C22H21Cl2N3O3,1083.7269671624429,2.0,0.0,0.3125,0.10526315789473684,0.3125,0.3125,0.3125,1.0,1.3650245666503906
9,AHC,AP,1,9,0.5623586177825928,COc1cc(C=CC(=O)Nc2ccc(O)cc2)cc(OC)c1O,true,1,true,0,0.5831028666539441,0.0,2.766900000000001,315.32500000000005,23.0,298.189,5.0,3.0,6.0,5.0,2.0,0.0,2.0,88.02000000000001,0.0,0.0,C17H17NO5,697.2587401285153,1.0,0.0,0.375,0.3157894736842105,0.375,0.375,0.375,1.0,1.3650245666503906
