,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,BACE1_Sim,BACE1_Cmpd1_Sim,BACE1_Cmpd2_Sim,BACE1_Cmpd3_Sim,raw_BACE1_Sim,single,filter,score_time
0,CARL,BACE1,1,0,0.5328433513641357,CC(C)COC1=C(O)C2C(C1)C1CC(O)C1C2C(=O)O,true,1,true,0,0.73130789143305,0.0,1.7761,282.336,20.0,260.15999999999997,4.0,3.0,5.0,4.0,0.0,3.0,3.0,86.99,0.0,0.0,C15H22O5,455.1802260025984,3.0,0.0,0.3220338983050848,0.1964285714285714,0.19999999999999996,0.3220338983050848,0.3220338983050848,0.3220338983050848,1.0,0.301663875579834
1,CARL,BACE1,1,1,0.5328433513641357,CC(C)Sc1nc2c(N)nc(N)nc2n1Cc1ccccc1,true,1,true,0,0.7184729240604971,0.0,2.5395000000000003,314.418,22.0,296.27400000000006,7.0,2.0,7.0,4.0,3.0,0.0,3.0,95.63999999999999,0.0,0.0,C15H18N6S,796.647929001416,2.0,0.0,0.3392857142857143,0.3392857142857143,0.2666666666666667,0.27118644067796616,0.3392857142857143,0.3392857142857143,1.0,0.301663875579834
2,CARL,BACE1,1,2,0.5328433513641357,CC(C)(C)C(C#N)C(=O)Nc1ccc2oc(C(=O)O)cc2c1,true,1,true,0,0.9050863755751715,0.0,3.2553800000000006,300.314,22.0,284.186,4.0,2.0,6.0,3.0,2.0,0.0,2.0,103.33,0.0,0.0,C16H16N2O4,777.5202064484894,3.0,0.0,0.3111111111111111,0.3035714285714286,0.3111111111111111,0.288135593220339,0.3111111111111111,0.3111111111111111,1.0,0.301663875579834
3,CARL,BACE1,1,3,0.5328433513641357,C(=Cc1nccn1Cc1ccc2ccccc2c1)c1ccccc1,true,1,true,0,0.5028462862971356,0.0,5.255000000000004,310.40000000000003,24.0,292.25600000000003,2.0,0.0,2.0,4.0,4.0,0.0,4.0,17.82,0.0,0.0,C22H18N2,980.9709977871131,2.0,0.0,0.4285714285714286,0.4285714285714286,0.33333333333333337,0.27118644067796616,0.4285714285714286,0.4285714285714286,1.0,0.301663875579834
4,CARL,BACE1,1,4,0.5328433513641357,COc1c(C)cc(O)c2c(=O)cc(C(=O)O)oc12,true,1,true,0,0.8380678710741223,0.0,1.5138199999999997,250.20599999999996,18.0,240.12599999999995,5.0,2.0,6.0,2.0,2.0,0.0,2.0,96.97,0.0,0.0,C12H10O6,697.76034497267,1.0,0.0,0.3392857142857143,0.3392857142857143,0.3111111111111111,0.3220338983050848,0.3392857142857143,0.3392857142857143,1.0,0.301663875579834
5,CARL,BACE1,1,5,0.5328433513641357,CC12CC(=O)N(CN3Cc4cc(C(N)=O)ccc4C3=O)C(=O)C1(O)C(CCCc1ccncc1)CO2,true,1,true,0,0.5492634737484352,0.0,1.0118000000000005,492.5320000000004,36.0,464.30800000000033,7.0,2.0,10.0,7.0,2.0,3.0,5.0,143.13,0.0,0.0,C26H28N4O6,1250.2504442678262,4.0,0.0,0.22033898305084743,0.1785714285714286,0.0444444444444444,0.22033898305084743,0.22033898305084743,0.22033898305084743,1.0,0.301663875579834
6,CARL,BACE1,1,6,0.5328433513641357,C12(C)C(=CC(=O)C(N3Cc4ccccc4CC3)C6O)C1CC(COC(=O)C(C)(C)C)=C2C(OC)=O,false,0,true,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23728813559322037,0.0892857142857143,0.0,0.23728813559322037,0.23728813559322037,0.23728813559322037,1.0,0.301663875579834
7,CARL,BACE1,1,7,0.5328433513641357,COc1ccc(-n2nc(C)c3c2C(CO)CN(Cc2cccc(F)c2)C3=O)cc1,true,1,true,0,0.7210926944560494,0.0,3.0603200000000017,395.4340000000001,29.0,373.25800000000015,5.0,1.0,7.0,5.0,3.0,1.0,4.0,67.59,0.0,0.0,C22H22FN3O3,1045.956095969847,2.0,1.0,0.423728813559322,0.3571428571428571,0.19999999999999996,0.423728813559322,0.423728813559322,0.423728813559322,1.0,0.301663875579834
8,CARL,BACE1,1,8,0.5328433513641357,CC(C)n1cc(C(=O)N2CCCC3(COCCN3Cc3cccc4ccccc34)C2)c2ccccc21,true,1,true,0,0.3651780494702944,0.0,5.882600000000006,481.64000000000016,36.0,446.36000000000035,4.0,0.0,5.0,4.0,4.0,2.0,6.0,37.71,0.0,0.0,C31H35N3O2,1398.247535137648,2.0,0.0,0.3035714285714286,0.3035714285714286,0.11111111111111116,0.22033898305084743,0.3035714285714286,0.3035714285714286,1.0,0.301663875579834
9,CARL,BACE1,1,9,0.5328433513641357,O(C)C12CCCCC1C(=O)C(F)=C1C3Cc4c5cc(Cl)ccc5n(CCN(C)C)c4C1O2)C3,false,0,true,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18644067796610164,0.125,0.0444444444444444,0.18644067796610164,0.18644067796610164,0.18644067796610164,1.0,0.301663875579834
10,CARL,BACE1,1,10,0.5328433513641357,CC(=O)Nc1noc(-c2ccc(F)cc2)c1-c1ccc(F)cc1,true,1,true,0,0.7862233132113599,0.0,4.245200000000002,314.291,23.0,302.195,3.0,1.0,6.0,3.0,3.0,0.0,3.0,55.13,0.0,0.0,C17H12F2N2O2,840.0348567576532,1.0,2.0,0.4464285714285714,0.4464285714285714,0.33333333333333337,0.288135593220339,0.4464285714285714,0.4464285714285714,1.0,0.301663875579834
11,CARL,BACE1,1,11,0.5328433513641357,CCCN(CCC)S(=O)(=O)c1ccc(NC(=O)Nc2cccc(C(=O)O)c2)cc1,true,1,true,0,0.5710359141523325,0.0,3.839500000000002,419.5030000000001,29.0,394.3030000000002,4.0,3.0,9.0,9.0,2.0,0.0,2.0,115.81000000000002,0.0,0.0,C20H25N3O5S,952.336892573723,6.0,0.0,0.3392857142857143,0.3392857142857143,0.2666666666666667,0.288135593220339,0.3392857142857143,0.3392857142857143,1.0,0.301663875579834
12,CARL,BACE1,1,12,0.5328433513641357,CCN(c1ccc2c(c1)n(C)c(=O)n2C)S(=O)(=O)c1cccc2[nH]ccc12,true,1,true,0,0.5872241682266109,0.0,2.5735,384.46100000000007,27.0,364.30100000000016,5.0,1.0,8.0,4.0,4.0,0.0,4.0,80.1,0.0,0.0,C19H20N4O3S,1328.2507573214043,4.0,0.0,0.3214285714285714,0.3214285714285714,0.19999999999999996,0.288135593220339,0.3214285714285714,0.3214285714285714,1.0,0.301663875579834
