,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,EGFR_Sim,EGFR_Cmpd1_Sim,EGFR_Cmpd2_Sim,EGFR_Cmpd3_Sim,EGFR_Cmpd4_Sim,raw_EGFR_Sim,single,filter,score_time
0,CARL,EGFR,1,0,0.4816408157348633,CCCCC(=O)OC(C)(c1ccccc1)c1nnn[nH]1,true,1,true,0,0.8165927642110374,0.0,2.1966,274.32399999999996,20.0,256.17999999999995,5.0,1.0,6.0,6.0,2.0,0.0,2.0,80.75999999999999,0.0,0.0,C14H18N4O2,541.5662510325326,3.0,0.0,0.30434782608695654,0.23076923076923073,0.27142857142857146,0.22033898305084743,0.30434782608695654,0.30434782608695654,0.30434782608695654,1.0,0.33315277099609375
1,CARL,EGFR,1,1,0.4816408157348633,O=C(CC1SCCN1S(=O)(=O)c1ccc(Cl)cc1)NCCn1ccnc1,true,1,true,0,0.7464184887552451,0.0,1.8066000000000002,414.9400000000001,26.0,395.7880000000001,6.0,1.0,10.0,7.0,2.0,1.0,3.0,84.3,0.0,0.0,C16H19ClN4O3S2,840.8896270251549,3.0,0.0,0.27118644067796616,0.25,0.2571428571428571,0.27118644067796616,0.24637681159420288,0.27118644067796616,0.27118644067796616,1.0,0.33315277099609375
2,CARL,EGFR,1,2,0.4816408157348633,O=C(c1ccccc1)c1c(O)nc(-c2ccc([N+](=O)[O-])cc2)nc1O,true,1,true,0,0.42549646467339797,0.0,2.6940000000000013,337.29100000000005,25.0,326.2030000000001,7.0,2.0,8.0,4.0,3.0,0.0,3.0,126.45,0.0,0.0,C17H11N3O5,932.7722691962158,2.0,0.0,0.3623188405797102,0.32692307692307687,0.2571428571428571,0.30508474576271183,0.3623188405797102,0.3623188405797102,0.3623188405797102,1.0,0.33315277099609375
3,CARL,EGFR,1,3,0.4816408157348633,Cn1cnnc1NC(=O)C1CCCCC1,true,1,true,0,0.7973000521494785,0.0,1.3338999999999994,208.26499999999993,15.0,192.13699999999997,4.0,1.0,5.0,2.0,1.0,1.0,2.0,59.81,0.0,0.0,C10H16N4O,340.94651689362905,1.0,0.0,0.40384615384615385,0.40384615384615385,0.22857142857142854,0.30508474576271183,0.24637681159420288,0.40384615384615385,0.40384615384615385,1.0,0.33315277099609375
4,CARL,EGFR,1,4,0.4816408157348633,Oc1c(Cl)c(Cl)c(Cl)c2ccccc12,true,1,true,0,0.6793865805319659,0.0,4.505600000000002,247.508,14.0,242.468,1.0,1.0,4.0,0.0,2.0,0.0,2.0,20.23,0.0,0.0,C10H5Cl3O,461.6835371969467,0.0,0.0,0.32692307692307687,0.32692307692307687,0.19999999999999996,0.288135593220339,0.26086956521739135,0.32692307692307687,0.32692307692307687,1.0,0.33315277099609375
5,CARL,EGFR,1,5,0.4816408157348633,CC(=O)OCC1(C)C(=O)CC2C1OC(=O)CC2(C)OCc1ccccc1COOC(C)=O,true,1,true,0,0.33588660421538574,0.0,2.4305000000000003,448.46800000000025,32.0,420.24400000000026,9.0,0.0,9.0,8.0,1.0,2.0,3.0,114.43000000000004,0.0,0.0,C23H28O9,910.4830656240448,3.0,0.0,0.34285714285714286,0.11538461538461542,0.34285714285714286,0.27118644067796616,0.2753623188405797,0.34285714285714286,0.34285714285714286,1.0,0.33315277099609375
6,CARL,EGFR,1,6,0.4816408157348633,O=c1cc(N2CC(c3ccccc3)C2)nc2n(C3CCCCC3)c(C3CC3)nn12,true,1,true,0,0.6795533992121692,0.0,3.8774000000000024,389.50300000000027,29.0,362.28700000000015,6.0,0.0,6.0,4.0,3.0,3.0,6.0,55.43000000000001,0.0,0.0,C23H27N5O,1085.6488401205727,1.0,0.0,0.423728813559322,0.32692307692307687,0.3571428571428571,0.423728813559322,0.28985507246376807,0.423728813559322,0.423728813559322,1.0,0.33315277099609375
7,CARL,EGFR,1,7,0.4816408157348633,c1cc(-c2nc(C3CCN(c4nccc(-c5ccns5)n4)C3)no2)ccn1,true,1,true,0,0.5356040110648866,0.0,3.0390000000000006,377.4330000000001,27.0,362.3130000000001,9.0,0.0,9.0,4.0,4.0,1.0,5.0,93.72,0.0,0.0,C18H15N7OS,1034.8267528643346,1.0,0.0,0.3913043478260869,0.32692307692307687,0.27142857142857146,0.35593220338983056,0.3913043478260869,0.3913043478260869,0.3913043478260869,1.0,0.33315277099609375
8,CARL,EGFR,1,8,0.4816408157348633,CCc1ccc(CC(=O)N2CCCNCC2)cc1,true,1,true,0,0.878611447265812,0.0,1.6133999999999997,246.35399999999993,18.0,224.17799999999997,2.0,1.0,3.0,3.0,1.0,1.0,2.0,32.34,0.0,0.0,C15H22N2O,377.9850043501665,2.0,0.0,0.38983050847457623,0.32692307692307687,0.2857142857142857,0.38983050847457623,0.24637681159420288,0.38983050847457623,0.38983050847457623,1.0,0.33315277099609375
9,CARL,EGFR,1,9,0.4816408157348633,CC(C)(C)c1ccc(CCNC(=O)CNS(=O)(=O)c2ccc([N+](=O)[O-])c3nonc23)cc1,true,1,true,0,0.38106842424248455,0.0,2.0656999999999996,461.50000000000017,32.0,438.3160000000002,8.0,2.0,12.0,8.0,3.0,0.0,3.0,157.32999999999998,0.0,0.0,C20H23N5O6S,1245.7161252997544,4.0,0.0,0.2753623188405797,0.11538461538461542,0.27142857142857146,0.22033898305084743,0.2753623188405797,0.2753623188405797,0.2753623188405797,1.0,0.33315277099609375
