,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,EGFR_Sim,EGFR_Cmpd1_Sim,EGFR_Cmpd2_Sim,EGFR_Cmpd3_Sim,EGFR_Cmpd4_Sim,raw_EGFR_Sim,single,filter,score_time
0,CARL,EGFR,1,0,0.4699842929840088,Nc1nccc2cc(C#Cc3ccc(S(=O)(=O)Nc4ncns4)cc3)[nH]c12,true,1,true,0,0.45574242984497193,0.0,2.1972,396.457,27.0,384.3610000000001,7.0,3.0,10.0,3.0,4.0,0.0,4.0,126.65,0.0,0.0,C17H12N6O2S2,1266.7099002223413,3.0,0.0,0.28985507246376807,0.2692307692307693,0.2571428571428571,0.27118644067796616,0.28985507246376807,0.28985507246376807,0.28985507246376807,1.0,0.5745129585266113
1,CARL,EGFR,1,1,0.4699842929840088,N#CC(=Cc1ccccc1)c1nnnn1CCO,true,1,true,0,0.7970763825267847,0.0,0.7295799999999997,241.25399999999996,18.0,230.16599999999997,6.0,1.0,6.0,4.0,2.0,0.0,2.0,87.62,0.0,0.0,C12H11N5O,582.0152802977319,2.0,0.0,0.2753623188405797,0.23076923076923073,0.22857142857142854,0.2542372881355932,0.2753623188405797,0.2753623188405797,0.2753623188405797,1.0,0.5745129585266113
2,CARL,EGFR,1,2,0.4699842929840088,CCC(C=C1SC(=O)C(C)=C1O)CC,true,1,true,0,0.7785644743435376,0.0,3.411900000000002,212.31399999999996,14.0,196.18599999999995,3.0,1.0,3.0,3.0,0.0,1.0,1.0,37.3,0.0,0.0,C11H16O2S,298.40939234778244,3.0,0.0,0.2542372881355932,0.25,0.24285714285714288,0.2542372881355932,0.2028985507246377,0.2542372881355932,0.2542372881355932,1.0,0.5745129585266113
3,CARL,EGFR,1,3,0.4699842929840088,O=C(Cc1nc(-c2cccnc2)no1)Nc1ccc(OC(F)(F)F)cc1,true,1,true,0,0.7476691033860094,0.0,3.211400000000001,364.283,26.0,353.195,6.0,1.0,10.0,5.0,3.0,0.0,3.0,90.14,0.0,0.0,C16H11F3N4O3,879.7605557537037,2.0,3.0,0.3623188405797102,0.3076923076923077,0.3142857142857143,0.30508474576271183,0.3623188405797102,0.3623188405797102,0.3623188405797102,1.0,0.5745129585266113
4,CARL,EGFR,1,4,0.4699842929840088,COC(=O)C=C1C(=O)OC(CC(C)=O)C1(C)OO,true,1,true,0,0.3334338591203349,0.0,0.23859999999999965,258.22599999999994,18.0,244.11399999999995,7.0,1.0,7.0,4.0,0.0,1.0,1.0,99.13000000000002,0.0,0.0,C11H14O7,411.6147908378034,2.0,0.0,0.3389830508474576,0.23076923076923073,0.3142857142857143,0.3389830508474576,0.26086956521739135,0.3389830508474576,0.3389830508474576,1.0,0.5745129585266113
5,CARL,EGFR,1,5,0.4699842929840088,CCNC(=NC#N)Nc1ccc(OC(F)(F)Cl)cc1,true,1,true,0,0.3867438884310679,0.0,2.712980000000001,288.685,19.0,277.597,3.0,2.0,8.0,4.0,1.0,0.0,1.0,69.44,0.0,0.0,C11H11ClF2N4O,478.95393199433306,4.0,2.0,0.3220338983050848,0.25,0.30000000000000004,0.3220338983050848,0.28985507246376807,0.3220338983050848,0.3220338983050848,1.0,0.5745129585266113
6,CARL,EGFR,1,6,0.4699842929840088,CC(C)(C)N(CC(=O)N1CCN(C2CCCCC2)CC1)Cc1cccnc1,true,1,true,0,0.7959409483526143,0.0,3.1590000000000007,372.5570000000001,27.0,336.2690000000001,4.0,0.0,5.0,5.0,1.0,2.0,3.0,39.68000000000001,0.0,0.0,C22H36N4O,584.0803826266758,5.0,0.0,0.3571428571428571,0.1923076923076923,0.3571428571428571,0.35593220338983056,0.24637681159420288,0.3571428571428571,0.3571428571428571,1.0,0.5745129585266113
7,CARL,EGFR,1,7,0.4699842929840088,Cc1ccc(C2NC(=O)C(CC(=O)c3ccccc3)=C(C(C)C)C2=O)cc1,true,1,true,0,0.820069898457045,0.0,3.960620000000003,361.44100000000014,27.0,338.2570000000001,3.0,1.0,4.0,5.0,2.0,1.0,3.0,63.24,0.0,0.0,C23H23NO3,908.3994640857677,3.0,0.0,0.38983050847457623,0.34615384615384615,0.3142857142857143,0.38983050847457623,0.33333333333333337,0.38983050847457623,0.38983050847457623,1.0,0.5745129585266113
8,CARL,EGFR,1,8,0.4699842929840088,COC1CNC(C(=O)O)CC1O,true,1,true,0,0.4914996411064349,0.0,-1.1911999999999991,175.184,12.0,162.07999999999998,4.0,3.0,5.0,2.0,0.0,1.0,1.0,78.79,0.0,0.0,C7H13NO4,172.78931106510692,1.0,0.0,0.25,0.25,0.19999999999999996,0.23728813559322037,0.18840579710144922,0.25,0.25,1.0,0.5745129585266113
9,CARL,EGFR,1,9,0.4699842929840088,COC(=O)C1C(=O)C2=C(OC2=Cc2ccc(OC)c(OC)c2)OC1c1ccc(OC)c(O)c1,true,1,true,0,0.5199171467533815,0.0,3.1305000000000014,454.4310000000002,33.0,432.2550000000003,9.0,1.0,9.0,6.0,2.0,2.0,4.0,109.75000000000003,0.0,0.0,C24H22O9,1178.45251979889,1.0,0.0,0.3571428571428571,0.15384615384615385,0.3571428571428571,0.2033898305084746,0.3188405797101449,0.3571428571428571,0.3571428571428571,1.0,0.5745129585266113
