,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,A2A_Sim,A2A_Cmpd1_Sim,A2A_Cmpd2_Sim,A2A_Cmpd3_Sim,raw_A2A_Sim,single,filter,score_time
0,REINFORCE,A2A,1,0,0.5433046817779541,CC(C)C(=O)C(S)N=C1N=C2CCCC3CN1CC(=O)N23,true,1,true,0,0.7889866989756574,0.0,0.9321999999999999,308.407,21.0,288.247,4.0,1.0,7.0,3.0,0.0,4.0,4.0,65.34,0.0,0.0,C14H20N4O2S,543.0920970387788,3.0,0.0,0.2857142857142857,0.2592592592592593,0.2857142857142857,0.10256410256410253,0.2857142857142857,0.2857142857142857,1.0,1.4501686096191406
1,REINFORCE,A2A,1,1,0.5433046817779541,CCC(CC)N(C)C(=O)CS(=O)(=O)Cc1cc2cc(Cl)ccc2o1,true,1,true,0,0.7445753686605746,0.0,3.6480000000000032,371.886,24.0,349.7100000000001,4.0,0.0,7.0,7.0,2.0,0.0,2.0,67.59,0.0,0.0,C17H22ClNO4S,824.2281634141286,4.0,0.0,0.38095238095238093,0.31481481481481477,0.38095238095238093,0.17948717948717952,0.38095238095238093,0.38095238095238093,1.0,1.4501686096191406
2,REINFORCE,A2A,1,2,0.5433046817779541,O=C(CC(O)COc1cc(O)c2[s+]([O-])cc(-c3ccccc3)nc1-2)N1CCCN(c2ccc(C(O)(F)C(F)(F)F)cc2)CC1,true,1,true,0,0.18557142581908623,0.0,4.832200000000005,635.6360000000003,44.0,606.4040000000003,8.0,3.0,14.0,8.0,2.0,3.0,5.0,129.42,0.0,0.0,C30H29F4N3O6S,1565.548114231833,5.0,4.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1.0,1.4501686096191406
3,REINFORCE,A2A,1,3,0.5433046817779541,CCOC(OCC)C(=O)C1C(=O)CC(C)(C)CC1=O,true,1,true,0,0.5404941715064238,0.0,1.529,270.325,19.0,248.14899999999994,5.0,0.0,5.0,6.0,0.0,1.0,1.0,69.67,0.0,0.0,C14H22O5,346.0326134760314,6.0,0.0,0.38095238095238093,0.35185185185185186,0.38095238095238093,0.17948717948717952,0.38095238095238093,0.38095238095238093,1.0,1.4501686096191406
4,REINFORCE,A2A,1,4,0.5433046817779541,CCCOc1cc(NC(=O)CCn2ccc(C(F)(F)F)n2)ccc1OC(C)C,true,1,true,0,0.6740112966407393,0.0,4.506700000000003,399.41300000000007,28.0,375.2210000000001,5.0,1.0,9.0,9.0,2.0,0.0,2.0,65.38,0.0,0.0,C19H24F3N3O3,788.2164191675813,3.0,3.0,0.33333333333333337,0.33333333333333337,0.26190476190476186,0.23076923076923073,0.33333333333333337,0.33333333333333337,1.0,1.4501686096191406
5,REINFORCE,A2A,1,5,0.5433046817779541,C=CCc1c(O)c(O)c(C=NNc2ccc(C(=O)O)cc2)c(CC=C(C)C)c1O,true,1,true,0,0.1499410470513681,0.0,4.184800000000004,396.44300000000015,29.0,372.2510000000002,6.0,5.0,7.0,8.0,2.0,0.0,2.0,122.38,0.0,0.0,C22H24N2O5,971.9325238412002,2.0,0.0,0.4814814814814815,0.4814814814814815,0.26190476190476186,0.23076923076923073,0.4814814814814815,0.4814814814814815,1.0,1.4501686096191406
6,REINFORCE,A2A,1,6,0.5433046817779541,COc1cc(C(=O)C=CCn2cncn2)cc2c1CCNC2=O,true,1,true,0,0.657632557871824,0.0,1.0116999999999998,312.32900000000006,23.0,296.201,6.0,1.0,7.0,5.0,2.0,1.0,3.0,86.11000000000001,0.0,0.0,C16H16N4O3,765.8825791033616,2.0,0.0,0.3589743589743589,0.35185185185185186,0.26190476190476186,0.3589743589743589,0.3589743589743589,0.3589743589743589,1.0,1.4501686096191406
7,REINFORCE,A2A,1,7,0.5433046817779541,CCC(C)c1cc(NC(=O)Nc2ccc3nnnn3c2)nn1C,true,1,true,0,0.7667034598073518,0.0,2.0153,314.35300000000007,23.0,296.209,7.0,2.0,9.0,4.0,3.0,0.0,3.0,102.03,0.0,0.0,C14H18N8O,836.2899681722639,2.0,0.0,0.40476190476190477,0.38888888888888884,0.40476190476190477,0.28205128205128205,0.40476190476190477,0.40476190476190477,1.0,1.4501686096191406
8,REINFORCE,A2A,1,8,0.5433046817779541,CC(=O)n1cc(NC(=O)CNC(=O)C(O)CNC(=O)c2ccc(Br)cc2)c2ccccc21,true,1,true,0,0.39328478824693647,0.0,1.9095,501.33700000000016,32.0,480.16900000000027,6.0,4.0,10.0,7.0,3.0,0.0,3.0,129.53,0.0,0.0,C22H21BrN4O5,1172.7828274540618,3.0,0.0,0.2592592592592593,0.2592592592592593,0.2142857142857143,0.07692307692307687,0.2592592592592593,0.2592592592592593,1.0,1.4501686096191406
9,REINFORCE,A2A,1,9,0.5433046817779541,COC(=O)N1CCC(N2CC(=O)N(CC3CCOCC3OC)C2=O)C1,true,1,true,0,0.6668760790567865,0.0,0.1428000000000016,355.39100000000013,25.0,330.1910000000001,6.0,0.0,9.0,4.0,0.0,3.0,3.0,88.62,0.0,0.0,C16H25N3O6,541.9630942955756,2.0,0.0,0.31481481481481477,0.31481481481481477,0.23809523809523814,0.07692307692307687,0.31481481481481477,0.31481481481481477,1.0,1.4501686096191406
