,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,BACE1_Sim,BACE1_Cmpd1_Sim,BACE1_Cmpd2_Sim,BACE1_Cmpd3_Sim,raw_BACE1_Sim,single,filter,score_time
6016,REINFORCE,BACE1,48,0,83.37565398216248,CC(C)Cc1sc2cccc(-c3ccccc3)c2c1CN1CCNCC1,true,1,true,0,0.671573785902557,0.0,5.172000000000006,364.5580000000002,26.0,336.33400000000006,3.0,1.0,3.0,5.0,3.0,1.0,4.0,15.27,0.0,0.0,C23H28N2S,860.5501326344752,2.0,0.0,0.37777777777777777,0.3571428571428571,0.37777777777777777,0.3389830508474576,0.37777777777777777,0.37777777777777777,1.0,1.0800726413726807
6017,REINFORCE,BACE1,48,1,83.37565398216248,O=C(O)c1cc(Cc2ccc(-c3ccc(C(F)(F)C(F)F)cn3)cc2)c[nH]1,true,1,true,0,0.6100782823620582,0.0,4.722600000000003,378.32499999999993,27.0,364.213,2.0,2.0,8.0,6.0,3.0,0.0,3.0,65.97999999999999,0.0,0.0,C19H14F4N2O2,935.1033210745072,2.0,4.0,0.4285714285714286,0.4285714285714286,0.19999999999999996,0.3389830508474576,0.4285714285714286,0.4285714285714286,1.0,1.0800726413726807
6018,REINFORCE,BACE1,48,2,83.37565398216248,CC(C(=O)c1ccc(F)cc1)N1C(=O)C(=O)N(Cc2ccccc2F)C1=O,true,1,true,0,0.45924791915001045,0.0,2.527000000000001,372.32700000000006,27.0,358.21500000000015,4.0,0.0,8.0,5.0,2.0,1.0,3.0,74.76,0.0,0.0,C19H14F2N2O4,942.9807663196507,3.0,2.0,0.3392857142857143,0.3392857142857143,0.2222222222222222,0.3389830508474576,0.3392857142857143,0.3392857142857143,1.0,1.0800726413726807
6019,REINFORCE,BACE1,48,3,83.37565398216248,CCN(CC)C(=O)c1cc(Nc2c3ccccc3nc3cnccc23)ccc1N,true,1,true,0,0.3876557934813943,0.0,4.590800000000002,385.4710000000001,29.0,362.2870000000001,5.0,2.0,6.0,5.0,4.0,0.0,4.0,84.14,0.0,0.0,C23H23N5O,1146.45890688196,2.0,0.0,0.3392857142857143,0.3392857142857143,0.28888888888888886,0.18644067796610164,0.3392857142857143,0.3392857142857143,1.0,1.0800726413726807
6020,REINFORCE,BACE1,48,4,83.37565398216248,CCCCC1Sc2ccccc2C1=O,true,1,true,0,0.7521721110508225,0.0,3.533800000000002,206.31,14.0,192.19799999999995,2.0,0.0,2.0,3.0,1.0,1.0,2.0,17.07,0.0,0.0,C12H14OS,345.92989530401564,3.0,0.0,0.2542372881355932,0.1785714285714286,0.2222222222222222,0.2542372881355932,0.2542372881355932,0.2542372881355932,1.0,1.0800726413726807
6021,REINFORCE,BACE1,48,5,83.37565398216248,NCCOc1cccc(-c2ccc(-c3ccsc3)cc2)c1,true,1,true,0,0.7559518931835043,0.0,4.419600000000003,295.407,21.0,278.271,3.0,1.0,3.0,5.0,3.0,0.0,3.0,35.25,0.0,0.0,C18H17NOS,689.5023269420091,3.0,0.0,0.4464285714285714,0.4464285714285714,0.4222222222222223,0.3220338983050848,0.4464285714285714,0.4464285714285714,1.0,1.0800726413726807
6022,REINFORCE,BACE1,48,6,83.37565398216248,O=C1NC(c2ccccc2)(c2cccc(Cl)c2)C(=O)N1CCc1ccc(F)cc1,true,1,true,0,0.6309916784114947,0.0,4.517200000000003,408.8600000000001,29.0,390.7160000000001,2.0,1.0,6.0,5.0,3.0,1.0,4.0,49.410000000000004,0.0,0.0,C23H18ClFN2O2,1055.9876920825934,3.0,1.0,0.4821428571428571,0.4821428571428571,0.2222222222222222,0.35593220338983056,0.4821428571428571,0.4821428571428571,1.0,1.0800726413726807
6023,REINFORCE,BACE1,48,7,83.37565398216248,FC(F)c1ccc(-c2nc3ccccc3c3sccc23)cc1,true,1,true,0,0.4386452409321701,0.0,6.054100000000003,311.35600000000005,22.0,300.26800000000003,2.0,0.0,4.0,2.0,4.0,0.0,4.0,12.89,0.0,0.0,C18H11F2NS,957.8259597843561,1.0,2.0,0.4107142857142857,0.4107142857142857,0.33333333333333337,0.288135593220339,0.4107142857142857,0.4107142857142857,1.0,1.0800726413726807
6024,REINFORCE,BACE1,48,8,83.37565398216248,COc1ccccc1N1CCN(C(=O)NC2CCN(Cc3ccccc3C)CC2)CC1,true,1,true,0,0.8013033055530381,0.0,3.4998200000000024,422.57300000000026,31.0,388.3010000000003,4.0,1.0,6.0,5.0,2.0,2.0,4.0,48.050000000000004,0.0,0.0,C25H34N4O2,871.3306426289491,2.0,0.0,0.35593220338983056,0.2678571428571429,0.33333333333333337,0.35593220338983056,0.35593220338983056,0.35593220338983056,1.0,1.0800726413726807
6025,REINFORCE,BACE1,48,9,83.37565398216248,N#CCC(=S)NNC(=NC#N)Nc1ccc(C(F)(F)F)cc1,true,1,true,0,0.2536600582714204,0.0,2.2896600000000005,326.307,22.0,317.235,4.0,3.0,10.0,2.0,1.0,0.0,1.0,96.03,0.0,0.0,C12H9F3N6S,638.8010442150295,7.0,3.0,0.3392857142857143,0.3392857142857143,0.28888888888888886,0.288135593220339,0.3392857142857143,0.3392857142857143,1.0,1.0800726413726807
