,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,A2A_Sim,A2A_Cmpd1_Sim,A2A_Cmpd2_Sim,A2A_Cmpd3_Sim,raw_A2A_Sim,single,filter,score_time
7168,REINFORCE,A2A,57,0,78.59936761856079,NS(=O)(=O)c1cccc(C(=O)Nc2ccc(Br)cc2)c1,true,1,true,0,0.8857535539530385,0.0,2.3488000000000007,355.21299999999997,20.0,344.12500000000006,3.0,2.0,7.0,3.0,2.0,0.0,2.0,89.26,0.0,0.0,C13H11BrN2O3S,742.466514960314,1.0,0.0,0.5238095238095238,0.40740740740740744,0.5238095238095238,0.3076923076923077,0.5238095238095238,0.5238095238095238,1.0,0.643204927444458
7169,REINFORCE,A2A,57,1,78.59936761856079,CCCCC(CC)c1c(O)cccc1O,true,1,true,0,0.7726449045013856,0.0,3.781600000000003,208.30100000000002,15.0,188.14099999999996,2.0,2.0,2.0,5.0,1.0,0.0,1.0,40.46,0.0,0.0,C13H20O2,287.1543045557419,5.0,0.0,0.4285714285714286,0.2962962962962963,0.4285714285714286,0.28205128205128205,0.4285714285714286,0.4285714285714286,1.0,0.643204927444458
7170,REINFORCE,A2A,57,2,78.59936761856079,O=C(Nc1ccccc1)C(c1ccc(Cl)cc1)N(c1ccc(F)cc1)S(=O)(=O)c1ccccc1,true,1,true,0,0.33964121996600344,0.0,6.054400000000005,494.97500000000014,34.0,474.8150000000003,3.0,1.0,8.0,7.0,4.0,0.0,4.0,66.48,0.0,0.0,C26H20ClFN2O3S,1365.501661632694,6.0,1.0,0.18518518518518523,0.18518518518518523,0.09523809523809523,0.05128205128205132,0.18518518518518523,0.18518518518518523,1.0,0.643204927444458
7171,REINFORCE,A2A,57,3,78.59936761856079,CC(=O)OC1C(O)C=C(C)C2C(O)CC3C(C)(C)CCCC3(C)C12,true,1,true,0,0.5703611746304172,0.0,3.068500000000002,336.47200000000015,24.0,304.21600000000007,4.0,2.0,4.0,1.0,0.0,3.0,3.0,66.76,0.0,0.0,C20H32O4,551.8421028428511,1.0,0.0,0.31481481481481477,0.31481481481481477,0.2142857142857143,0.02564102564102566,0.31481481481481477,0.31481481481481477,1.0,0.643204927444458
7172,REINFORCE,A2A,57,4,78.59936761856079,CC(C)c1cc(C(=O)N(C)C)c(-c2ccccc2)nc1C(F)(F)F,true,1,true,0,0.8210416882053766,0.0,4.592600000000004,336.357,24.0,317.2049999999999,2.0,0.0,6.0,3.0,2.0,0.0,2.0,33.2,0.0,0.0,C18H19F3N2O,737.9193596314504,1.0,3.0,0.38095238095238093,0.33333333333333337,0.38095238095238093,0.3589743589743589,0.38095238095238093,0.38095238095238093,1.0,0.643204927444458
7173,REINFORCE,A2A,57,5,78.59936761856079,CCN(C(C)=O)c1ccc(C(C)=O)cc1,true,1,true,0,0.7096701351338736,0.0,2.2620000000000005,205.25699999999998,15.0,190.13699999999994,2.0,0.0,3.0,3.0,1.0,0.0,1.0,37.38,0.0,0.0,C12H15NO2,367.7134385940966,2.0,0.0,0.5238095238095238,0.31481481481481477,0.5238095238095238,0.3076923076923077,0.5238095238095238,0.5238095238095238,1.0,0.643204927444458
7174,REINFORCE,A2A,57,6,78.59936761856079,CCOc1cccc(NC(=O)c2cc(C)n(C(C)C)c2)c1F,true,1,true,0,0.9007083161542168,0.0,4.167520000000003,304.365,22.0,283.19699999999995,3.0,1.0,5.0,5.0,2.0,0.0,2.0,43.26,0.0,0.0,C17H21FN2O2,677.2936158365175,2.0,1.0,0.4285714285714286,0.37037037037037035,0.4285714285714286,0.33333333333333337,0.4285714285714286,0.4285714285714286,1.0,0.643204927444458
7175,REINFORCE,A2A,57,7,78.59936761856079,Cc1cccc2c1N(C(=O)C(C)CC(C)C)CC(C)(C)O2,true,1,true,0,0.8350626846954164,0.0,4.181220000000003,289.419,21.0,262.203,2.0,0.0,3.0,3.0,1.0,1.0,2.0,29.540000000000003,0.0,0.0,C18H27NO2,534.0199057903951,3.0,0.0,0.33333333333333337,0.33333333333333337,0.2142857142857143,0.3076923076923077,0.33333333333333337,0.33333333333333337,1.0,0.643204927444458
7176,REINFORCE,A2A,57,8,78.59936761856079,CCC(C)n1ncc(C(C)(C)C)c1C,true,1,true,0,0.7046756790936581,0.0,3.4600200000000028,194.32199999999997,14.0,172.14599999999996,2.0,0.0,2.0,2.0,1.0,0.0,1.0,17.82,0.0,0.0,C12H22N2,304.6118977199638,2.0,0.0,0.38095238095238093,0.35185185185185186,0.38095238095238093,0.28205128205128205,0.38095238095238093,0.38095238095238093,1.0,0.643204927444458
7177,REINFORCE,A2A,57,9,78.59936761856079,CCCCCCCCc1csc(N)n1,true,1,true,0,0.7009349528577602,0.0,3.628300000000002,212.36200000000002,14.0,192.20199999999997,3.0,1.0,3.0,7.0,1.0,0.0,1.0,38.91,0.0,0.0,C11H20N2S,245.19049979561726,7.0,0.0,0.33333333333333337,0.2222222222222222,0.33333333333333337,0.20512820512820518,0.33333333333333337,0.33333333333333337,1.0,0.643204927444458
7178,REINFORCE,A2A,57,10,78.59936761856079,CC(C)=CCCC(CCC(=O)O)C(C)C,true,1,true,0,0.6503511413192975,0.0,3.8698000000000023,212.333,15.0,188.14099999999996,1.0,1.0,2.0,7.0,0.0,0.0,0.0,37.3,0.0,0.0,C13H24O2,212.57584263290914,7.0,0.0,0.3571428571428571,0.2777777777777778,0.3571428571428571,0.20512820512820518,0.3571428571428571,0.3571428571428571,1.0,0.643204927444458
7179,REINFORCE,A2A,57,11,78.59936761856079,CCC(NCCc1ccccn1)c1cccc(C)c1,true,1,true,0,0.8503996279766021,0.0,3.673420000000003,254.377,19.0,232.20099999999996,2.0,1.0,2.0,6.0,2.0,0.0,2.0,24.92,0.0,0.0,C17H22N2,493.62506844693434,6.0,0.0,0.41025641025641024,0.33333333333333337,0.40476190476190477,0.41025641025641024,0.41025641025641024,0.41025641025641024,1.0,0.643204927444458
7180,REINFORCE,A2A,57,12,78.59936761856079,CCN(CC)c1nc(CCC(F)(F)F)c[nH]1,true,1,true,0,0.8505524702500353,0.0,2.750800000000001,235.253,16.0,219.12499999999994,2.0,1.0,6.0,5.0,1.0,0.0,1.0,31.92,0.0,0.0,C10H16F3N3,315.35431036877407,3.0,3.0,0.33333333333333337,0.31481481481481477,0.33333333333333337,0.28205128205128205,0.33333333333333337,0.33333333333333337,1.0,0.643204927444458
7181,REINFORCE,A2A,57,13,78.59936761856079,CCCC(NC(=O)c1ccccc1)C(=O)O,true,1,true,0,0.794370905082071,0.0,1.6697,221.256,16.0,206.13599999999997,2.0,2.0,4.0,5.0,1.0,0.0,1.0,66.4,0.0,0.0,C12H15NO3,361.7864391863981,4.0,0.0,0.4285714285714286,0.33333333333333337,0.4285714285714286,0.3076923076923077,0.4285714285714286,0.4285714285714286,1.0,0.643204927444458
7182,REINFORCE,A2A,57,14,78.59936761856079,Cc1cc(NCCCNC(=O)c2ccccc2)c(C)c(C)n1,true,1,true,0,0.8048422031540149,0.0,3.2388600000000016,297.40200000000004,22.0,274.21799999999996,3.0,2.0,4.0,6.0,2.0,0.0,2.0,54.019999999999996,0.0,0.0,C18H23N3O,638.2805701374936,5.0,0.0,0.5641025641025641,0.31481481481481477,0.38095238095238093,0.5641025641025641,0.5641025641025641,0.5641025641025641,1.0,0.643204927444458
7183,REINFORCE,A2A,57,15,78.59936761856079,Cc1ccc(NC(=O)NCCc2nccn2C)cc1,true,1,true,0,0.8818804473192734,0.0,2.09272,258.325,19.0,240.18099999999998,3.0,2.0,5.0,4.0,2.0,0.0,2.0,58.95,0.0,0.0,C14H18N4O,544.8285368858864,3.0,0.0,0.45238095238095233,0.38888888888888884,0.45238095238095233,0.3846153846153846,0.45238095238095233,0.45238095238095233,1.0,0.643204927444458
7184,REINFORCE,A2A,57,16,78.59936761856079,CC(=O)c1ccc(O)c(C(=O)c2ccc[nH]2)c1,true,1,true,0,0.7920736788586821,0.0,2.1539,229.23499999999999,17.0,218.14699999999996,3.0,2.0,4.0,3.0,2.0,0.0,2.0,70.16,0.0,0.0,C13H11NO3,570.3554403208668,2.0,0.0,0.5,0.42592592592592593,0.5,0.3076923076923077,0.5,0.5,1.0,0.643204927444458
7185,REINFORCE,A2A,57,17,78.59936761856079,COc1ccc(C=CC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1,true,1,true,0,0.6753125996847549,0.0,3.7388400000000024,297.354,22.0,278.202,3.0,1.0,4.0,5.0,2.0,0.0,2.0,59.160000000000004,0.0,0.0,C18H19NO3,736.4379159721776,2.0,0.0,0.4285714285714286,0.37037037037037035,0.4285714285714286,0.28205128205128205,0.4285714285714286,0.4285714285714286,1.0,0.643204927444458
