,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,AP_Sim,AP_Cmpd1_Sim,AP_Cmpd2_Sim,raw_AP_Sim,single,filter,score_time
0,REINVENT-MolOpt,AP,1,0,0.45773983001708984,CC(C)N(C)C(=O)c1ccncc1,true,1,true,0,0.6882176088392948,0.0,1.562,178.235,13.0,164.12299999999996,2.0,0.0,3.0,2.0,1.0,0.0,1.0,33.2,0.0,0.0,C10H14N2O,282.2360368170665,1.0,0.0,0.375,0.3157894736842105,0.375,0.375,0.375,1.0,0.63265061378479
1,REINVENT-MolOpt,AP,1,1,0.45773983001708984,NC1=NC(CNC2c3cc(-c4cnc(N)cn4)ccc3-c3nc4c(cc32)C(=O)c2ccccc2C4=O)CO1,true,1,true,0,0.3343593020941563,0.0,2.269100000000001,503.52200000000033,38.0,482.3540000000004,10.0,3.0,10.0,4.0,4.0,3.0,7.0,158.46999999999997,0.0,0.0,C28H21N7O3,1697.6891013504821,3.0,0.0,0.125,0.0,0.125,0.125,0.125,1.0,0.63265061378479
2,REINVENT-MolOpt,AP,1,2,0.45773983001708984,CNC1COC(CCn2c(=O)oc3cc(C)cc(C)c32)C1,true,1,true,0,0.9352024810978574,0.0,1.978339999999999,290.36300000000006,21.0,268.18699999999995,5.0,1.0,5.0,4.0,2.0,1.0,3.0,56.4,0.0,0.0,C16H22N2O3,701.3453803781535,3.0,0.0,0.5526315789473684,0.5526315789473684,0.39583333333333337,0.5526315789473684,0.5526315789473684,1.0,0.63265061378479
3,REINVENT-MolOpt,AP,1,3,0.45773983001708984,CCSc1ncc(C(=O)c2cc(F)ccc2F)c(=O)n1CCN(C)C,true,1,true,0,0.4273974438581051,0.0,2.4261,367.42100000000016,25.0,348.26900000000006,6.0,0.0,8.0,7.0,2.0,0.0,2.0,55.2,0.0,0.0,C17H19F2N3O2S,837.128051740021,3.0,2.0,0.27083333333333337,0.23684210526315785,0.27083333333333337,0.27083333333333337,0.27083333333333337,1.0,0.63265061378479
4,REINVENT-MolOpt,AP,1,4,0.45773983001708984,C(COc1c(C(=O)O)ccc(NC(C2N(C(=O)C(n3ncc(-c4ncccn4)c3)C(C)CC2)=O)=O)c1)C,false,0,true,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1.0,0.63265061378479
5,REINVENT-MolOpt,AP,1,5,0.45773983001708984,CN(C)CCOc1nn(C)c(=O)c2sc(C(=O)Nc3ccccc3C(F)(F)F)cc12,true,1,true,0,0.6371875193459288,0.0,3.206500000000001,440.44700000000006,30.0,421.29500000000013,7.0,1.0,11.0,6.0,3.0,0.0,3.0,76.46000000000001,0.0,0.0,C19H19F3N4O3S,1138.2355498442812,4.0,3.0,0.35416666666666663,0.07894736842105265,0.35416666666666663,0.35416666666666663,0.35416666666666663,1.0,0.63265061378479
6,REINVENT-MolOpt,AP,1,6,0.45773983001708984,CC1CCCN1C(=O)c1ccc(-n2ccc(=O)c(C(=O)NCc3c(F)cccc3F)c2)cc1,true,1,true,0,0.6435906448374814,0.0,3.670200000000002,451.4730000000001,33.0,428.2890000000002,4.0,1.0,8.0,5.0,3.0,1.0,4.0,71.41,0.0,0.0,C25H23F2N3O3,1234.2471304261974,2.0,2.0,0.3125,0.07894736842105265,0.3125,0.3125,0.3125,1.0,0.63265061378479
7,REINVENT-MolOpt,AP,1,7,0.45773983001708984,Cc1ccc(S(=O)(=O)N=C(N)c2ccccc2)cc1,true,1,true,0,0.6877349350870355,0.0,2.08922,274.345,19.0,260.23299999999995,2.0,1.0,5.0,3.0,2.0,0.0,2.0,72.52,0.0,0.0,C14H14N2O2S,689.9856402680086,2.0,0.0,0.35416666666666663,0.2894736842105263,0.35416666666666663,0.35416666666666663,0.35416666666666663,1.0,0.63265061378479
8,REINVENT-MolOpt,AP,1,8,0.45773983001708984,Cn1nc(COC2CCCC(c3nnc(CNCCO)s3)O2)n(C2CC2)c1=O,true,1,true,0,0.5785734124966169,0.0,0.6345999999999999,410.50000000000017,28.0,384.29200000000014,11.0,2.0,11.0,9.0,2.0,2.0,4.0,116.32,0.0,0.0,C17H26N6O4S,845.0614500845422,4.0,0.0,0.22916666666666663,0.1578947368421053,0.22916666666666663,0.22916666666666663,0.22916666666666663,1.0,0.63265061378479
9,REINVENT-MolOpt,AP,1,9,0.45773983001708984,CC1(C)CC(=O)C2=C(C1)Nc1nc(N)nn1C2c1cc(Br)c(O)c([N+](=O)[O-])c1,true,1,true,0,0.4681120096483834,0.0,2.8947000000000003,449.2650000000001,28.0,432.12900000000013,9.0,3.0,11.0,2.0,2.0,2.0,4.0,149.20000000000002,0.0,0.0,C17H17BrN6O4,1073.8401708762576,1.0,0.0,0.02083333333333337,0.0,0.02083333333333337,0.02083333333333337,0.02083333333333337,1.0,0.63265061378479
10,REINVENT-MolOpt,AP,1,10,0.45773983001708984,CN1CCC=C(c2ccc(-c3cnn(C)c3)cn2)C1=O,true,1,true,0,0.8331198958075985,0.0,1.7275999999999998,268.32,20.0,252.19199999999995,4.0,0.0,5.0,2.0,2.0,1.0,3.0,51.02,0.0,0.0,C15H16N4O,669.4368898807012,1.0,0.0,0.5,0.5,0.375,0.5,0.5,1.0,0.63265061378479
11,REINVENT-MolOpt,AP,1,11,0.45773983001708984,CN(C)CCN1C(=O)CN(S(=O)(=O)C=Cc2ccccc2)C1c1ccccc1,true,1,true,0,0.7173323111221488,0.0,2.391700000000001,399.5160000000001,28.0,374.3160000000002,4.0,0.0,7.0,7.0,2.0,1.0,3.0,60.93,0.0,0.0,C21H25N3O3S,927.8828732144032,3.0,0.0,0.25,0.13157894736842102,0.25,0.25,0.25,1.0,0.63265061378479
12,REINVENT-MolOpt,AP,1,12,0.45773983001708984,CC(=O)C12CCCC(C)=C1SC(C(=O)Nc1ccc3ccccc3c1)C2,true,1,true,0,0.8008525798154158,0.0,5.317100000000004,365.4980000000001,26.0,342.31400000000014,3.0,1.0,4.0,3.0,2.0,2.0,4.0,46.17,0.0,0.0,C22H23NO2S,932.6390968591892,1.0,0.0,0.35416666666666663,0.1842105263157895,0.35416666666666663,0.35416666666666663,0.35416666666666663,1.0,0.63265061378479
