,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,AP_Sim,AP_Cmpd1_Sim,AP_Cmpd2_Sim,raw_AP_Sim,single,filter,score_time
0,REINVENT,AP,1,0,0.4821736812591553,N#Cc1c(Nc2cnc(N)nc2N)cn(CCCCO)c1Br,true,1,true,0,0.5694902091314659,0.0,1.59278,366.22299999999996,22.0,350.095,8.0,4.0,9.0,6.0,2.0,0.0,2.0,138.79999999999998,0.0,0.0,C13H16BrN7O,707.1446600826653,4.0,0.0,0.29166666666666663,0.23684210526315785,0.29166666666666663,0.29166666666666663,0.29166666666666663,1.0,1.2213659286499023
1,REINVENT,AP,1,1,0.4821736812591553,COc1ccccc1C(=O)NCc1ccc(NC(=O)Nc2cccc(F)c2)cc1,true,1,true,0,0.580449951447699,0.0,4.408300000000002,393.41800000000006,29.0,373.25800000000015,3.0,3.0,7.0,6.0,3.0,0.0,3.0,79.46000000000001,0.0,0.0,C22H20FN3O3,1006.1941445725369,2.0,1.0,0.375,0.21052631578947367,0.375,0.375,0.375,1.0,1.2213659286499023
2,REINVENT,AP,1,2,0.4821736812591553,O=C(NNC(=O)c1ccncc1)C(=O)NC(=S)N1CCOCC1,true,1,true,0,0.3272926405386653,0.0,-1.4240999999999995,337.36100000000016,23.0,322.2410000000001,6.0,3.0,10.0,1.0,1.0,1.0,2.0,112.66,0.0,0.0,C13H15N5O4S,603.64225886165,2.0,0.0,0.3125,0.2894736842105263,0.3125,0.3125,0.3125,1.0,1.2213659286499023
3,REINVENT,AP,1,3,0.4821736812591553,CCC(=O)Nc1ccc(C(C)=Nc2cc(-c3ccccc3)nc(N)[n+]2[O-])cc1,true,1,true,0,0.40439513272449845,0.0,3.453400000000001,375.4320000000001,28.0,354.26400000000007,5.0,2.0,7.0,5.0,3.0,0.0,3.0,107.31,0.0,0.0,C21H21N5O2,1014.9708651405397,1.0,0.0,0.16666666666666663,0.10526315789473684,0.16666666666666663,0.16666666666666663,0.16666666666666663,1.0,1.2213659286499023
4,REINVENT,AP,1,4,0.4821736812591553,COC(=O)C(NC(=O)OCc1ccccc1)C(C)C,true,1,true,0,0.8280741059123191,0.0,2.1104,265.309,19.0,246.15699999999995,4.0,1.0,5.0,5.0,1.0,0.0,1.0,64.63,0.0,0.0,C14H19NO4,416.7139577681972,3.0,0.0,0.375,0.3157894736842105,0.375,0.375,0.375,1.0,1.2213659286499023
5,REINVENT,AP,1,5,0.4821736812591553,CC(C)=CCC=C(C)CCC(O)C=CC1=C(C)CCCC1(C)C,true,1,true,0,0.5304955996729656,0.0,6.512900000000007,316.5290000000001,23.0,280.241,1.0,1.0,1.0,7.0,0.0,1.0,1.0,20.23,0.0,0.0,C22H36O,496.06578143698863,4.0,0.0,0.27083333333333337,0.1842105263157895,0.27083333333333337,0.27083333333333337,0.27083333333333337,1.0,1.2213659286499023
6,REINVENT,AP,1,6,0.4821736812591553,COc1cc(N2CCC(O)(Cc3ccccc3)CC2)ncn1,true,1,true,0,0.9362110683855163,0.0,2.0591999999999997,299.3740000000001,22.0,278.20599999999996,5.0,1.0,5.0,4.0,2.0,1.0,3.0,58.480000000000004,0.0,0.0,C17H21N3O2,610.3109321727849,2.0,0.0,0.35416666666666663,0.3421052631578947,0.35416666666666663,0.35416666666666663,0.35416666666666663,1.0,1.2213659286499023
7,REINVENT,AP,1,7,0.4821736812591553,CCc1nnc(CN(C)C(=O)COCC2CC2)o1,true,1,true,0,0.7252722318600365,0.0,1.017,253.30199999999994,18.0,234.14999999999995,5.0,0.0,6.0,7.0,1.0,1.0,2.0,68.46000000000001,0.0,0.0,C12H19N3O3,401.0268282779071,4.0,0.0,0.3125,0.21052631578947367,0.3125,0.3125,0.3125,1.0,1.2213659286499023
8,REINVENT,AP,1,8,0.4821736812591553,Cc1nc(CC(=O)N2CC(=O)N(Cc3cscn3)C2)cs1,true,1,true,0,0.8503222977328018,0.0,1.2790199999999996,322.415,21.0,308.303,6.0,0.0,8.0,4.0,2.0,1.0,3.0,66.4,0.0,0.0,C13H14N4O2S2,652.9401988629731,2.0,0.0,0.33333333333333337,0.3157894736842105,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.2213659286499023
9,REINVENT,AP,1,9,0.4821736812591553,CC1SN(C(=O)N2CCSCC2)CC1C(=O)O,true,1,true,0,0.7294461656494756,0.0,1.2083,276.383,17.0,260.255,4.0,1.0,7.0,1.0,0.0,2.0,2.0,60.85000000000001,0.0,0.0,C10H16N2O3S2,320.672871094205,1.0,0.0,0.25,0.21052631578947367,0.25,0.25,0.25,1.0,1.2213659286499023
10,REINVENT,AP,1,10,0.4821736812591553,CC(=O)c1c(Sc2ccc(C)c(Cl)c2)ccn2c(CCNC(=O)C(C)C)nnc12,true,1,true,0,0.5633483103494297,0.0,4.359620000000003,430.96100000000024,29.0,407.77700000000016,6.0,1.0,8.0,7.0,3.0,0.0,3.0,76.36,0.0,0.0,C21H23ClN4O2S,1077.9734965500163,3.0,0.0,0.25,0.02631578947368418,0.25,0.25,0.25,1.0,1.2213659286499023
11,REINVENT,AP,1,11,0.4821736812591553,CCCCc1nc(C(=O)OCC)c(NC(=O)c2ccccc2Cl)s1,true,1,true,0,0.7286688436763025,0.0,4.568100000000004,366.87,24.0,347.7180000000001,5.0,1.0,7.0,7.0,2.0,0.0,2.0,68.28999999999999,0.0,0.0,C17H19ClN2O3S,730.3757760790619,3.0,0.0,0.39583333333333337,0.1842105263157895,0.39583333333333337,0.39583333333333337,0.39583333333333337,1.0,1.2213659286499023
12,REINVENT,AP,1,12,0.4821736812591553,O=C(NO)c1ccc(C(=O)NN=Cc2ccc(OC(=O)c3ccc(Cl)cc3)cc2)cc1,true,1,true,0,0.17941581941556223,0.0,3.4421000000000017,437.83900000000017,31.0,421.71100000000024,6.0,3.0,9.0,6.0,3.0,0.0,3.0,117.09,0.0,0.0,C22H16ClN3O5,1111.3931368966569,1.0,0.0,0.33333333333333337,0.23684210526315785,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.2213659286499023
