,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,BACE1_Sim,BACE1_Cmpd1_Sim,BACE1_Cmpd2_Sim,BACE1_Cmpd3_Sim,raw_BACE1_Sim,single,filter,score_time
0,REINVENT,BACE1,1,0,0.48699402809143066,O=[N+]([O-])C=CCC(F)(F)F,true,1,true,0,0.44975175173958226,0.0,1.7292,155.075,10.0,151.04299999999998,2.0,0.0,6.0,2.0,0.0,0.0,0.0,43.14,0.0,0.0,C4H4F3NO2,151.07191849430646,2.0,3.0,0.19999999999999996,0.1785714285714286,0.19999999999999996,0.18644067796610164,0.19999999999999996,0.19999999999999996,1.0,1.2194015979766846
1,REINVENT,BACE1,1,1,0.48699402809143066,CCNCc1[nH]c2c([N+](=O)[O-])c(OC)ccc2c1C=Cc1nc2cc(C)ccc2[nH]1,true,1,true,0,0.3086877413128413,0.0,4.5493200000000025,405.4580000000001,30.0,382.27400000000017,5.0,3.0,8.0,7.0,4.0,0.0,4.0,108.87,0.0,0.0,C22H23N5O3,1268.9901487046332,3.0,0.0,0.2678571428571429,0.2678571428571429,0.0888888888888889,0.2542372881355932,0.2678571428571429,0.2678571428571429,1.0,1.2194015979766846
2,REINVENT,BACE1,1,2,0.48699402809143066,COc1ccccc1CNC(=O)c1ccc(F)c(Cn2nc(Cc3cccc(NS(C)(=O)=O)c3)cc2NC(=O)c2ccc(Cl)nc2)c1,true,1,true,0,0.1527501415766212,0.0,5.272100000000004,677.1580000000001,47.0,646.918,8.0,3.0,14.0,12.0,5.0,0.0,5.0,144.31,0.0,0.0,C33H30ClFN6O5S,2035.8105864927181,2.0,1.0,0.1607142857142857,0.1607142857142857,0.0,0.10169491525423724,0.1607142857142857,0.1607142857142857,1.0,1.2194015979766846
3,REINVENT,BACE1,1,3,0.48699402809143066,O=C(C#Cc1cccc2cncnc12)NC(CCCc1ccccc1)C(=O)NC12CC3CC(CC(C3)C1)C2,true,1,true,0,0.45989923433902163,0.0,4.574000000000004,506.6500000000003,38.0,472.3780000000003,4.0,2.0,6.0,7.0,3.0,4.0,7.0,83.98,0.0,0.0,C32H34N4O2,1350.0507849423786,6.0,0.0,0.3728813559322034,0.2142857142857143,0.022222222222222254,0.3728813559322034,0.3728813559322034,0.3728813559322034,1.0,1.2194015979766846
4,REINVENT,BACE1,1,4,0.48699402809143066,CCn1ncc(C(=O)O)c1C(CCN(C)O)OC(=O)C(C)(C)C,true,1,true,0,0.5821772311071819,0.0,1.9427,327.38100000000003,23.0,302.18100000000004,7.0,2.0,8.0,7.0,1.0,0.0,1.0,104.89000000000001,0.0,0.0,C15H25N3O5,559.9488468647936,5.0,0.0,0.3728813559322034,0.2321428571428571,0.33333333333333337,0.3728813559322034,0.3728813559322034,0.3728813559322034,1.0,1.2194015979766846
5,REINVENT,BACE1,1,5,0.48699402809143066,COC(=O)CN(CC(C)C)C(=O)c1ccc(Cl)c(S(=O)(=O)NCc2ccco2)c1,true,1,true,0,0.598253733598715,0.0,2.6827000000000005,442.92100000000016,29.0,419.7370000000002,6.0,1.0,10.0,9.0,2.0,0.0,2.0,105.92,0.0,0.0,C19H23ClN2O6S,957.0839117476158,4.0,0.0,0.2678571428571429,0.2678571428571429,0.24444444444444446,0.2542372881355932,0.2678571428571429,0.2678571428571429,1.0,1.2194015979766846
6,REINVENT,BACE1,1,6,0.48699402809143066,COc1ccc(-c2oc3c(-c4ccccc4)cccc3c2C(=O)NCCN2CCOCC2)c(OC)c1,true,1,true,0,0.38406590949620933,0.0,4.846000000000005,486.56800000000044,36.0,456.32800000000026,6.0,1.0,7.0,8.0,4.0,1.0,5.0,73.17,0.0,0.0,C29H30N2O5,1342.795834846467,3.0,0.0,0.38983050847457623,0.375,0.1333333333333333,0.38983050847457623,0.38983050847457623,0.38983050847457623,1.0,1.2194015979766846
7,REINVENT,BACE1,1,7,0.48699402809143066,Cc1nc2ccc(C(=O)N3CCC(C(=O)NCCCc4ccccc4)CC3)cc2c(O)c1C=O,true,1,true,0,0.4149372058272673,0.0,3.6625200000000033,459.5460000000002,34.0,430.31400000000025,5.0,2.0,7.0,7.0,3.0,1.0,4.0,99.6,0.0,0.0,C27H29N3O4,1201.4707993578022,4.0,0.0,0.30508474576271183,0.25,0.1777777777777778,0.30508474576271183,0.30508474576271183,0.30508474576271183,1.0,1.2194015979766846
8,REINVENT,BACE1,1,8,0.48699402809143066,NC(=S)NN=Cc1ccc2ccccc2c1,true,1,true,0,0.4702958629990982,0.0,2.0069,229.30800000000002,16.0,218.21999999999997,2.0,2.0,4.0,2.0,2.0,0.0,2.0,50.41,0.0,0.0,C12H11N3S,548.7100995255253,2.0,0.0,0.33333333333333337,0.2857142857142857,0.33333333333333337,0.1694915254237288,0.33333333333333337,0.33333333333333337,1.0,1.2194015979766846
9,REINVENT,BACE1,1,9,0.48699402809143066,CC(C)(c1ccco1)C(C(=O)N1CC(F)C1)c1cccs1,true,1,true,0,0.8647709357900543,0.0,3.5828000000000024,307.38999999999993,21.0,289.246,3.0,0.0,5.0,4.0,2.0,1.0,3.0,33.45,0.0,0.0,C16H18FNO2S,600.2752017766238,4.0,1.0,0.35593220338983056,0.3392857142857143,0.3111111111111111,0.35593220338983056,0.35593220338983056,0.35593220338983056,1.0,1.2194015979766846
