,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,EGFR_Sim,EGFR_Cmpd1_Sim,EGFR_Cmpd2_Sim,EGFR_Cmpd3_Sim,EGFR_Cmpd4_Sim,raw_EGFR_Sim,single,filter,score_time
0,SCREEN,EGFR,1,0,3.3982553482055664,Cc1ccc(NC(=O)Cc2cc(-c3cccs3)on2)cc1,true,1,true,0,0.7946242890913303,0.0,3.8927200000000015,298.3670000000001,21,284.255,4,1,5,4,3,0,3,55.13,0.0,0,C16H14N2O2S,729.9949690049855,2,0,0.3728813559322034,0.3076923076923077,0.2571428571428571,0.3728813559322034,0.33333333333333337,0.3728813559322034,0.3728813559322034,1.0,1.0496811866760254
1,SCREEN,EGFR,1,1,3.3982553482055664,CCS(=O)(=O)N1Cc2ccccc2CC1C(=O)Nc1ccc(F)c(F)c1F,true,1,true,0,0.8058264576143072,0.0,2.819000000000001,398.40600000000006,27,381.27000000000004,3,1,9,4,2,1,3,66.48,0.0,0,C18H17F3N2O3S,995.3415235994103,2,3,0.38983050847457623,0.21153846153846156,0.3571428571428571,0.38983050847457623,0.37681159420289856,0.38983050847457623,0.38983050847457623,1.0,1.0496811866760254
2,SCREEN,EGFR,1,2,3.3982553482055664,CC1(O)CC(CSC#N)OC(c2ccc(Br)cc2)C1,true,1,true,0,0.8525070117346429,0.0,3.6344800000000026,342.25800000000004,19,326.13000000000005,4,1,5,3,1,1,2,53.25,0.0,0,C14H16BrNO2S,469.32946275702494,3,0,0.3285714285714286,0.25,0.3285714285714286,0.2542372881355932,0.2753623188405797,0.3285714285714286,0.3285714285714286,1.0,1.0496811866760254
3,SCREEN,EGFR,1,3,3.3982553482055664,CCOC(=O)C(C)Sc1nnc2n3cnnc3c3ccccc3n12,true,1,true,0,0.4137694582006181,0.0,1.9688999999999997,342.38400000000007,24,328.2720000000001,9,0,9,4,4,0,4,86.67999999999999,0.0,0,C15H14N6O2S,1056.107691377241,3,0,0.3188405797101449,0.1923076923076923,0.24285714285714288,0.22033898305084743,0.3188405797101449,0.3188405797101449,0.3188405797101449,1.0,1.0496811866760254
4,SCREEN,EGFR,1,4,3.3982553482055664,Cc1ccccc1-c1nn2c(Cn3nnc4ccccc43)nnc2s1,true,1,true,0,0.5015601925494384,0.0,2.954220000000001,347.40700000000004,25,334.30300000000005,8,0,8,3,5,0,5,73.79,0.0,0,C17H13N7S,1200.1232626095782,2,0,0.34782608695652173,0.32692307692307687,0.2571428571428571,0.27118644067796616,0.34782608695652173,0.34782608695652173,0.34782608695652173,1.0,1.0496811866760254
5,SCREEN,EGFR,1,5,3.3982553482055664,Cc1ccc(-c2ccc(C(=O)N(C)c3ccc(C)cc3)s2)cc1,true,1,true,0,0.6400576762555893,0.0,5.308540000000003,321.445,23,302.293,2,0,3,3,3,0,3,20.310000000000002,0.0,0,C20H19NOS,815.6078286757441,1,0,0.4067796610169492,0.40384615384615385,0.34285714285714286,0.4067796610169492,0.37681159420289856,0.4067796610169492,0.4067796610169492,1.0,1.0496811866760254
6,SCREEN,EGFR,1,6,3.3982553482055664,Cn1nccc1C(=O)NCCNCc1ccc(-c2ccc(-c3nc4cc(F)ccc4[nH]3)cc2)cc1,true,1,true,0,0.2966389877726074,0.0,4.289100000000003,468.5360000000001,35,443.33600000000024,5,3,8,8,5,0,5,87.63,0.0,0,C27H25FN6O,1453.6164724778678,5,1,0.34782608695652173,0.17307692307692313,0.30000000000000004,0.3389830508474576,0.34782608695652173,0.34782608695652173,0.34782608695652173,1.0,1.0496811866760254
7,SCREEN,EGFR,1,7,3.3982553482055664,COc1ccc(Cc2nc(C(O)c3ccccc3)n(CC(C)(C)O)n2)cc1,true,1,true,0,0.6711258973758711,0.0,2.730100000000001,367.4490000000002,27,342.2490000000001,6,2,6,7,3,0,3,80.4,0.0,0,C21H25N3O3,867.9375322599313,2,0,0.44067796610169496,0.40384615384615385,0.3571428571428571,0.44067796610169496,0.3913043478260869,0.44067796610169496,0.44067796610169496,1.0,1.0496811866760254
8,SCREEN,EGFR,1,8,3.3982553482055664,Cn1cnc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1,true,1,true,0,0.38536937610831434,0.0,3.2653000000000008,484.54500000000013,35,464.38500000000033,9,2,11,5,5,1,6,119.61999999999999,0.0,0,C24H20N8O2S,1655.1251427884824,4,0,0.30434782608695654,0.17307692307692313,0.22857142857142854,0.288135593220339,0.30434782608695654,0.30434782608695654,0.30434782608695654,1.0,1.0496811866760254
9,SCREEN,EGFR,1,9,3.3982553482055664,COc1ccc(-c2nc(C[S+]([O-])CC(=O)NC3CCCCC3C)c(C)o2)cc1OC,true,1,true,0,0.637716595487652,0.0,3.610820000000002,434.55800000000033,30,404.3180000000002,6,1,8,8,2,1,3,96.65,0.0,0,C22H30N2O5S,869.2079407802065,4,0,0.3728813559322034,0.25,0.3571428571428571,0.3728813559322034,0.33333333333333337,0.3728813559322034,0.3728813559322034,1.0,1.0496811866760254
