,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,AP_Sim,AP_Cmpd1_Sim,AP_Cmpd2_Sim,raw_AP_Sim,single,filter,score_time
0,SCREEN,AP,1,0,3.337449789047241,CC1CC(C(=O)NC(COc2ccccc2F)C(C)(C)C)CCC1=O,true,1,true,0,0.8809011035680835,0.0,3.740700000000003,349.4460000000002,25,321.2220000000001,3,1,5,5,1,1,2,55.4,0.0,0,C20H28FNO3,623.6124352160383,5,1,0.3421052631578947,0.3421052631578947,0.3125,0.3421052631578947,0.3421052631578947,1.0,1.081810474395752
1,SCREEN,AP,1,1,3.337449789047241,Cc1ccccc1N1CC(C(=O)N2CCCCCC2)CC1=O,true,1,true,0,0.8424017486044408,0.0,2.7505200000000016,300.40200000000004,22,276.21,2,0,4,2,1,2,3,40.620000000000005,0.0,0,C18H24N2O2,561.9605130279336,1,0,0.39583333333333337,0.1842105263157895,0.39583333333333337,0.39583333333333337,0.39583333333333337,1.0,1.081810474395752
2,SCREEN,AP,1,2,3.337449789047241,COc1ccc(NC(=O)C(=O)NC(c2ccccc2OC)c2nccn2C)c(OC)c1,true,1,true,0,0.5642980446076096,0.0,2.2901999999999996,424.4570000000002,31,400.2650000000002,7,2,9,7,3,0,3,103.71,0.0,0,C22H24N4O5,1079.2681502315768,3,0,0.20833333333333337,0.1842105263157895,0.20833333333333337,0.20833333333333337,0.20833333333333337,1.0,1.081810474395752
3,SCREEN,AP,1,3,3.337449789047241,O=C(CO)C1CC2C=CC1C2,true,1,true,0,0.5930051438797983,0.0,0.76,152.19299999999998,11,140.09699999999998,2,1,2,2,0,2,2,37.3,0.0,0,C9H12O2,207.60827277065206,2,0,0.25,0.1578947368421053,0.25,0.25,0.25,1.0,1.081810474395752
4,SCREEN,AP,1,4,3.337449789047241,C#CCN(C)CC(=C)c1cccc(COc2ccc(OC)cc2)c1,true,1,true,0,0.6893772373391083,0.0,3.852400000000003,321.42,24,298.23600000000005,3,0,3,8,2,0,2,21.700000000000003,0.0,0,C21H23NO2,713.3637580538503,5,0,0.5526315789473684,0.5526315789473684,0.375,0.5526315789473684,0.5526315789473684,1.0,1.081810474395752
5,SCREEN,AP,1,5,3.337449789047241,Cc1cc(C)nc(-n2nc(C)cc2NC(=O)c2cccc(S(=O)(=O)N(C)C)c2)n1,true,1,true,0,0.6844983608887188,0.0,2.09016,414.49100000000016,29,392.3150000000001,7,1,10,5,3,0,3,110.07999999999998,0.0,0,C19H22N6O3S,1164.1551986911086,2,0,0.22916666666666663,0.0,0.22916666666666663,0.22916666666666663,0.22916666666666663,1.0,1.081810474395752
6,SCREEN,AP,1,6,3.337449789047241,CC(C)CC1NC(=O)C(CCCN(C(=N)N)[N+](=O)[O-])NC1=O,true,1,true,0,0.20824590221883366,0.0,-0.8169299999999973,314.346,22,292.17,5,4,10,7,0,1,1,154.45000000000002,0.0,0,C12H22N6O4,452.5328341104555,6,0,0.25,0.07894736842105265,0.25,0.25,0.25,1.0,1.081810474395752
7,SCREEN,AP,1,7,3.337449789047241,CCOC(=O)CCn1ccc2c3c(=O)cc(-c4ccccc4)[nH]c3ccc21,true,1,true,0,0.5450180128883313,0.0,4.103000000000003,360.41300000000007,27,340.2530000000001,4,1,5,5,4,0,4,64.09,0.0,0,C22H20N2O3,1172.8309093844127,3,0,0.23684210526315785,0.23684210526315785,0.22916666666666663,0.23684210526315785,0.23684210526315785,1.0,1.081810474395752
8,SCREEN,AP,1,8,3.337449789047241,CSc1ccc(Sc2ccc(S(N)(=O)=O)cc2CN(C)C)cc1,true,1,true,0,0.793009910817218,0.0,3.2687000000000017,368.54900000000015,23,348.3890000000001,5,1,7,6,2,0,2,63.400000000000006,0.0,0,C16H20N2O2S3,772.412399286005,2,0,0.3125,0.1842105263157895,0.3125,0.3125,0.3125,1.0,1.081810474395752
9,SCREEN,AP,1,9,3.337449789047241,CCN(CC)C(=O)c1sc2c(c1C)c(=O)n(Cc1ccccc1)c(=O)n2Cc1ccccc1C,true,1,true,0,0.3974955541596571,0.0,4.420140000000004,475.6140000000002,34,446.3820000000003,6,0,7,7,4,0,4,64.31,0.0,0,C27H29N3O3S,1460.4947825777265,2,0,0.1875,0.0,0.1875,0.1875,0.1875,1.0,1.081810474395752
10,SCREEN,AP,1,10,3.337449789047241,CC(NC(=O)C1CCn2ccnc2C1)C(O)Cc1ccccc1,true,1,true,0,0.8800115209505202,0.0,1.5537999999999992,313.401,23,290.217,4,2,5,5,2,1,3,67.15,0.0,0,C18H23N3O2,653.2961262158963,4,0,0.29166666666666663,0.26315789473684215,0.29166666666666663,0.29166666666666663,0.29166666666666663,1.0,1.081810474395752
11,SCREEN,AP,1,11,3.337449789047241,CC1(C)OCC2=NC3=C(C(=O)COC3)C(c3ccc(F)c(Br)c3)C2=C1O,true,1,true,0,0.7513391355728354,0.0,3.6007000000000016,422.25000000000006,26,405.1140000000001,5,1,7,1,1,3,4,68.12,0.0,0,C19H17BrFNO4,916.1142445562729,1,1,0.35416666666666663,0.1578947368421053,0.35416666666666663,0.35416666666666663,0.35416666666666663,1.0,1.081810474395752
12,SCREEN,AP,1,12,3.337449789047241,CCOC(=O)C1(Cc2ccccc2C(F)(F)F)CCN(C(C)COC)CC1,true,1,true,0,0.6648716949877476,0.0,3.9281000000000033,387.44200000000023,27,359.21800000000013,4,0,7,7,1,1,2,38.769999999999996,0.0,0,C20H28F3NO3,625.1431055279203,3,3,0.29166666666666663,0.23684210526315785,0.29166666666666663,0.29166666666666663,0.29166666666666663,1.0,1.081810474395752
13,SCREEN,AP,1,13,3.337449789047241,Cc1noc(NC(=O)c2ccc(N)cc2)c1C,true,1,true,0,0.7755559027341548,0.0,2.12594,231.255,17,218.15099999999998,4,2,5,2,2,0,2,81.15,0.0,0,C12H13N3O2,543.3784263275398,1,0,0.41666666666666663,0.368421052631579,0.41666666666666663,0.41666666666666663,0.41666666666666663,1.0,1.081810474395752
14,SCREEN,AP,1,14,3.337449789047241,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN(C4CCC(C(=O)O)CC4)CC3)cc12,true,1,true,0,0.5360022641250924,0.0,5.249200000000004,467.51600000000036,34,440.3000000000003,4,2,8,5,3,2,5,78.45,0.0,0,C26H27F2N3O3,1261.654482971137,1,2,0.14583333333333337,0.0,0.14583333333333337,0.14583333333333337,0.14583333333333337,1.0,1.081810474395752
15,SCREEN,AP,1,15,3.337449789047241,CCCCNS(=O)(=O)c1cccc(NS(=O)(=O)c2cc(C(=O)O)ccc2C)c1,true,1,true,0,0.5285380565226195,0.0,2.572420000000001,426.5160000000002,28,404.34000000000026,5,3,10,9,2,0,2,129.64,0.0,0,C18H22N2O6S2,1079.0047135549773,5,0,0.3125,0.1842105263157895,0.3125,0.3125,0.3125,1.0,1.081810474395752
16,SCREEN,AP,1,16,3.337449789047241,NC1CC(c2c[nH]c3ccc(CC4COC(=O)N4)cc23)C1,true,1,true,0,0.8068442117693035,0.0,2.0235,285.34700000000004,21,266.19499999999994,3,3,5,3,2,2,4,80.14000000000001,0.0,0,C16H19N3O2,687.8869591749939,2,0,0.41666666666666663,0.3157894736842105,0.41666666666666663,0.41666666666666663,0.41666666666666663,1.0,1.081810474395752
