Cluster,Scaffold,SMILES,total_score,step
0,c1ccc(N2CCNCC2)cc1,CCCCN1CCN(c2ccccc2OC)CC1,0.5586095059189821,1.0
0,c1ccc(N2CCNCC2)cc1,CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.6856452971863075,90.0
0,c1ccc(N2CCNCC2)cc1,CCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.713122554609649,94.0
0,c1ccc(N2CCNCC2)cc1,CC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1,0.6930797933941452,102.0
0,c1ccc(N2CCNCC2)cc1,CCCN1CCN(c2ccc(Cl)c(Cl)c2)C(C)C1,0.6248820866402685,111.0
0,c1ccc(N2CCNCC2)cc1,CCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.6375955769907523,114.0
0,c1ccc(N2CCNCC2)cc1,CC(C)N1CCN(c2ccc(Cl)c(Cl)c2)CC1,0.5484329884879795,114.0
0,c1ccc(N2CCNCC2)cc1,CCCN1CCN(c2ccc(Cl)cc2Cl)CC1,0.5730791670891564,117.0
0,c1ccc(N2CCNCC2)cc1,CC(N)CN1CCN(c2ccc(Cl)c(Cl)c2Cl)CC1,0.6502372971357483,123.0
0,c1ccc(N2CCNCC2)cc1,CC(C)NC(=O)N1CCN(c2cc(Cl)cc(Cl)c2Cl)CC1,0.6308572813330207,124.0
0,c1ccc(N2CCNCC2)cc1,CCOC(=O)N1CCN(c2cccc(Cl)c2Cl)CC1,0.5010022936125288,134.0
0,c1ccc(N2CCNCC2)cc1,Cc1ccccc1N1CCN(CC=CC=CN)CC1,0.5067797027976703,150.0
0,c1ccc(N2CCNCC2)cc1,CCN1CCN(c2ccc(Cl)c(Cl)c2N(C)CC)CC1,0.588855730318341,157.0
1,c1ccc(CCSc2cc3c(s2)CCCC3)cc1,N#Cc1c(SCCc2ccc(C=CC(=O)O)cc2)sc2c1CCCC2,0.6369686824500075,1.0
2,O=C(C1CCCN1)N1CC(c2ccccc2)c2ccccc21,Cc1ccc2c(c1)C(O)(c1ccccc1)CN2C(=O)C1CCC(C(=O)O)N1,0.5378827895414792,1.0
3,O=C(Nc1ccnn1C1CC2COCC1N2)c1ccccc1,N#Cc1cnn(C2CC3COCC2N3)c1NC(=O)c1cccc(Cl)c1,0.5135914902251919,1.0
4,O=C(Nc1cccnc1)N1CCCC(Nc2cnc3ccccc3n2)C1,Cc1nc2c(C)cccc2nc1NC1CCCN(C(=O)Nc2cccnc2)C1,0.6680544190319956,1.0
5,O=C(NC12CC3CC(CC(C3)C1)C2)c1cncc2c(=O)cc(N3CCOCC3)sc12,O=C(NC12CC3CC(CC(C3)C1)C2)c1cnc(O)c2c(=O)cc(N3CCOCC3)sc12,0.5941648623345096,1.0
6,c1ccc(-c2ccc3cn[nH]c3n2)cc1,CC(C)n1ncc2ccc(-c3cccc(OCC(N)=O)c3)nc21,0.5244305893685137,1.0
7,O=C(NCc1ccccc1)c1ccc(=O)[nH]c1,Cc1cc(=O)n(N(C)C)c(N)c1C(=O)NCc1ccc(Cl)cc1Cl,0.5250568635521498,1.0
8,c1ccc2c(c1)CCCN2c1nncs1,CC(=O)NC(C)c1nnc(N2CCCc3cc(Cl)ccc32)s1,0.8040915267586457,1.0
8,c1ccc2c(c1)CCCN2c1nncs1,CC(=O)Nc1nnc(N2CCCc3ccc(C(C)C)cc32)s1,0.5525797175125591,169.0
9,c1ccc(CNc2nc3c(ccc4[nH]ccc43)[nH]2)cc1,Cc1cc2c(nc(NCc3cccc(Cl)c3)n2C)c2cc[nH]c12,0.5926087703548164,1.0
10,c1ccc(CCCNCC2CCc3ccccc3O2)nc1,Fc1ccc2c(c1)OC(CNCCCc1ccccn1)CC2,0.5878653258217981,1.0
11,O=C(Nc1nc2cncnc2s1)c1cccs1,Cc1nc(O)c2nc(NC(=O)c3cccs3)sc2n1,0.6362278693548137,1.0
12,O=c1[nH]c2nc[nH]c(=O)c2nc1Nc1ccccc1,CCc1nc2c(nc(Nc3ccccc3)c(=O)n2CC=C(C)C)c(=O)[nH]1,0.549317244649241,1.0
