id,pchembl_value,canonical_smiles,target_organism,source
CHEMBL10,7.08,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,Homo sapiens,chembl
CHEMBL103667,6.777142857142857,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,Homo sapiens,chembl
CHEMBL1077116,4.9,COc1cc2c(cc1Cl)CCN=C2c1cccc(Cl)c1,Homo sapiens,chembl
CHEMBL1077118,5.0,COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NCC2,Homo sapiens,chembl
CHEMBL1077129,6.2,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1F)=NCC2,Homo sapiens,chembl
CHEMBL1077132,5.2,COc1cc2c(cc1Cl)C(c1ccccc1)=NCC2,Homo sapiens,chembl
CHEMBL1077137,5.0,COc1cc2c(cc1Cl)CCN=C2c1cccc(Br)c1,Homo sapiens,chembl
CHEMBL1078178,5.92,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,Homo sapiens,chembl
CHEMBL1079921,5.26,CN(C)CCCNC(=O)c1ccc2c(c1)CC(c1nc3ccc(-c4cn[nH]c4)cc3s1)CO2,Homo sapiens,chembl
CHEMBL1080279,4.86,COc1cccc(CN(CCN(C)C)C(=O)c2nc3ccc(-c4cn[nH]c4)cc3s2)c1,Homo sapiens,chembl
CHEMBL1080582,7.58,c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,Homo sapiens,chembl
CHEMBL1082866,5.3,COc1cc2c(cc1Cl)C(c1ccc(F)cc1)=NCC2,Homo sapiens,chembl
CHEMBL1083185,6.4,COc1cc2c(cc1Cl)C(c1cccc(Br)c1)=NCC2,Homo sapiens,chembl
CHEMBL1084546,6.6,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,Homo sapiens,chembl
CHEMBL1084664,5.4,COc1cc2c(cc1Cl)C(c1cccc(F)c1)=NCC2,Homo sapiens,chembl
CHEMBL1086653,5.2,COc1cc2c(cc1OC)C(c1ccc(Cl)c(Cl)c1)=NCC2,Homo sapiens,chembl
CHEMBL1086736,5.6,COc1ccncc1C1=NNC(=O)/C1=N\Nc1ccccc1,Homo sapiens,chembl
CHEMBL1087421,6.9,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,Homo sapiens,chembl
CHEMBL1087544,4.8,COc1cc2c(cc1Cl)CCN=C2c1ccc(Cl)c(Cl)c1,Homo sapiens,chembl
CHEMBL1088053,6.0,COc1cc2c(cc1Cl)C(c1ccc3ccccc3c1)=NCC2,Homo sapiens,chembl
CHEMBL1088633,6.75,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,Homo sapiens,chembl
CHEMBL1088634,5.7,COc1cc2c(cc1Cl)C(c1cccc(C)c1)=NCC2,Homo sapiens,chembl
CHEMBL1089007,7.8,O[C@H]1CC[C@H](Nc2nccc(-c3c[nH]nc3C3CCCOC3)n2)CC1,Homo sapiens,chembl
CHEMBL1090089,7.72,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,Homo sapiens,chembl
CHEMBL1090090,6.11,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,Homo sapiens,chembl
CHEMBL1092764,8.52,CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,Homo sapiens,chembl
CHEMBL1094013,7.96,CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](Cc2ccc(OC)cc2)CC3)n1,Homo sapiens,chembl
CHEMBL1094014,8.3,CN(C)c1c(-c2ccnc(N[C@H]3CC[C@H](O)CC3)n2)cnn1Cc1ccccc1,Homo sapiens,chembl
CHEMBL1098827,5.826666666666667,O=c1c2ccccc2nc2n1-c1ccccc1/C2=N\O,Homo sapiens,chembl
